GEN_OK ready 293 · publishing 293 (skip already applied/qarth)

[WALMART][STORE1] token issued, expires at 2026-07-13T00:00:39.690Z
[WALMART][STORE1] GET /v3/items/FaisalX-3339 → 200 (tokens: 149, 679ms, cid=6a9749e1-ace1-421d-86aa-004faab62582)
[WALMART][STORE1] GET /v3/items/FaisalX-2264 → 200 (tokens: 149, 746ms, cid=345c29f2-4ac0-4364-a1f1-5d9b9290d44d)
[WALMART][STORE1] GET /v3/items/FaisalX-3804 → 200 (tokens: 149, 461ms, cid=f4ba308b-ab9d-4f05-913e-b48ade40ed89)
[WALMART][STORE1] GET /v3/items/FaisalX-3682 → 200 (tokens: 149, 726ms, cid=6eafb144-a229-4db1-86af-3fd179a79dc6)
[WALMART][STORE1] GET /v3/items/FaisalX-4210 → 200 (tokens: 148, 657ms, cid=7be7e356-3dbb-47f8-aae4-d2ded5b345e8)
[WALMART][STORE1] GET /v3/items/FaisalX-3925 → 200 (tokens: 149, 772ms, cid=46936247-3ccb-4370-b26d-7c7b760c0c16)
[WALMART][STORE1] GET /v3/items/FaisalX-4519 → 200 (tokens: 149, 496ms, cid=db900dfa-0bc2-4464-a1da-be2ccc456843)
[WALMART][STORE1] GET /v3/items/FaisalX-5231 → 200 (tokens: 149, 530ms, cid=4c38a522-2085-4fb8-b75c-4416beeabe2a)
[WALMART][STORE1] GET /v3/items/FaisalX-4324 → 200 (tokens: 149, 770ms, cid=1803302b-0519-4b98-9bc9-f3be4b75a7c8)
[WALMART][STORE1] GET /v3/items/RizwanX-120 → 200 (tokens: 149, 514ms, cid=6ddc9adf-7576-4303-a6f6-e4c2e0767760)
[WALMART][STORE1] GET /v3/items/RizwanX-109 → 200 (tokens: 149, 469ms, cid=0d050189-3980-4489-aeee-becde7a28566)
[WALMART][STORE1] GET /v3/items/RizwanX-2404 → 200 (tokens: 149, 471ms, cid=13e1c9f5-49ea-4cf5-8b8b-4dde3332832b)
[WALMART][STORE1] GET /v3/items/RizwanX-119 → 200 (tokens: 148, 437ms, cid=b1b0382c-7539-47d8-af3e-fca3dc9139d9)
[WALMART][STORE1] GET /v3/items/RizwanX-2439 → 200 (tokens: 149, 628ms, cid=1cf49c64-e21a-4d03-8d61-0a0b6b59fbf2)
[WALMART][STORE1] GET /v3/items/RizwanX-2722 → 200 (tokens: 149, 502ms, cid=4fb1b397-321b-4637-8a83-748cc1b8a207)
[WALMART][STORE1] GET /v3/items/RizwanX-2475 → 200 (tokens: 149, 473ms, cid=c607c0f0-cd41-49f7-8af2-672109694704)
[WALMART][STORE1] GET /v3/items/RizwanX-2428 → 200 (tokens: 149, 508ms, cid=9f59ec90-9e13-4e81-b58f-3cc34413fdee)
[WALMART][STORE1] GET /v3/items/RizwanX-2435 → 200 (tokens: 149, 433ms, cid=b46bf512-e639-4eb0-8f4f-818f84af0f1d)
[WALMART][STORE1] GET /v3/items/RizwanX-2984 → 200 (tokens: 149, 597ms, cid=6808b905-7dac-4be0-8ef6-513326af630e)
[WALMART][STORE1] GET /v3/items/RizwanX-2964 → 200 (tokens: 148, 566ms, cid=a2540394-dab9-48ed-b31c-a0262461797f)
[WALMART][STORE1] GET /v3/items/RizwanX-3316 → 200 (tokens: 149, 698ms, cid=7cb821e4-9dff-4629-9567-b02c2245020f)
[WALMART][STORE1] GET /v3/items/RizwanX-3569 → 200 (tokens: 149, 460ms, cid=22388215-ddde-49d2-a37e-df2dd094bf34)
[WALMART][STORE1] GET /v3/items/RizwanX-3320 → 200 (tokens: 149, 459ms, cid=0832cb9c-a335-4039-ace5-d385cf646d64)
[WALMART][STORE1] GET /v3/items/FaisalX-1194 → 200 (tokens: 149, 460ms, cid=70df86be-4836-46ed-9eaa-b9014aa6cf3a)
[WALMART][STORE1] GET /v3/items/FaisalX-1119 → 200 (tokens: 149, 462ms, cid=1a237a88-5cda-41cc-b291-87e396a69403)
[WALMART][STORE1] GET /v3/items/FaisalX-1682 → 200 (tokens: 149, 480ms, cid=c336b87e-82e2-4f8c-86d7-2e53af2faff7)
[WALMART][STORE1] GET /v3/items/FaisalX-3524 → 200 (tokens: 149, 488ms, cid=031d88e4-6776-4f9c-9241-c2d298c896da)
[WALMART][STORE1] GET /v3/items/FaisalX-3476 → 200 (tokens: 149, 491ms, cid=2d7538e7-0b4a-4bce-bec0-a5049434643d)
[WALMART][STORE1] GET /v3/items/FaisalX-2533 → 200 (tokens: 149, 504ms, cid=da4c2197-b3e5-4db4-8c81-30c0bc1a814b)
[WALMART][STORE1] GET /v3/items/FaisalX-3755 → 200 (tokens: 149, 464ms, cid=45b9d356-78b3-4b84-9b74-4594766a7056)
[WALMART][STORE1] GET /v3/items/FaisalX-3600 → 200 (tokens: 149, 448ms, cid=8e366160-1e43-4b9d-ae62-a69ebc2ae7eb)
[WALMART][STORE1] GET /v3/items/FaisalX-390 → 200 (tokens: 149, 558ms, cid=129b5c4e-5213-41c2-8498-a4b8db23321c)
[WALMART][STORE1] GET /v3/items/FaisalX-5351 → 200 (tokens: 149, 489ms, cid=2ba6be44-6ded-4c30-b539-3f0991d8d6cb)
[WALMART][STORE1] GET /v3/items/FaisalX-4723 → 200 (tokens: 149, 413ms, cid=8ad61fd6-0a83-4518-89a5-7a048d94993d)
[WALMART][STORE1] GET /v3/items/FaisalX-4454 → 200 (tokens: 149, 459ms, cid=90c5191b-1fbb-48d0-bf19-ad4c01401f58)
[WALMART][STORE1] GET /v3/items/FaisalX-5206 → 200 (tokens: 149, 529ms, cid=53e6793c-35a0-4b28-b816-e3a7a78eda46)
[WALMART][STORE1] GET /v3/items/FaisalX-5193 → 200 (tokens: 148, 443ms, cid=2718c451-5f13-43e1-b4f8-47ab2ee73377)
[WALMART][STORE1] GET /v3/items/FaisalX-5191 → 200 (tokens: 149, 451ms, cid=51f5464f-59bc-46d0-8c23-af69c4d6dbca)
[WALMART][STORE1] GET /v3/items/RizwanX-2291 → 200 (tokens: 149, 446ms, cid=49ab7365-b848-4d9f-a2c7-3cda2b2e280e)
[WALMART][STORE1] GET /v3/items/RizwanX-2294 → 200 (tokens: 149, 460ms, cid=06347916-c42c-4d85-b039-08eabd23abbf)
[WALMART][STORE1] GET /v3/items/RizwanX-3127 → 200 (tokens: 149, 501ms, cid=a67c186d-7ac6-4c76-b578-3d9429cc43f8)
[WALMART][STORE1] GET /v3/items/RizwanX-3155 → 200 (tokens: 149, 529ms, cid=968844bc-eaa6-49f9-87c7-1980f7085e31)
[WALMART][STORE1] GET /v3/items/RizwanX-2394 → 200 (tokens: 149, 551ms, cid=e92e3ffb-7782-4ac8-922b-0479191ade16)
[WALMART][STORE1] GET /v3/items/RizwanX-3807 → 200 (tokens: 148, 438ms, cid=da75be70-1557-4247-afb6-fe76129a8611)
[WALMART][STORE1] GET /v3/items/RizwanX-3806 → 200 (tokens: 149, 477ms, cid=065a39c8-6958-4596-9af0-96320889013f)
[WALMART][STORE1] GET /v3/items/RizwanX-3324 → 200 (tokens: 148, 587ms, cid=3fa7ba4f-b1c9-4370-a5c6-23b153302cf2)
[WALMART][STORE1] GET /v3/items/RizwanX-3613 → 200 (tokens: 149, 447ms, cid=14d33bd5-5f97-4a55-a2b6-8e13c3e85cea)
[WALMART][STORE1] GET /v3/items/FaisalX-1767 → 200 (tokens: 149, 636ms, cid=37b154f0-b166-48e8-b706-939239f9d78d)
[WALMART][STORE1] GET /v3/items/FaisalX-1114 → 200 (tokens: 149, 471ms, cid=fab4f749-d060-4cb5-910a-0bdc6068ffc2)
[WALMART][STORE1] GET /v3/items/FaisalX-1204 → 200 (tokens: 148, 610ms, cid=0ac093b9-f184-46ca-8ccd-fe9d54436c29)
[WALMART][STORE1] GET /v3/items/FaisalX-1768 → 200 (tokens: 149, 449ms, cid=87a9b780-7198-4fb7-9f02-fcdb91de991d)
[WALMART][STORE1] GET /v3/items/FaisalX-2487 → 200 (tokens: 149, 441ms, cid=1bcd1f45-8e68-432c-8df5-92c15c7aff77)
[WALMART][STORE1] GET /v3/items/FaisalX-2279 → 200 (tokens: 149, 448ms, cid=3ba96829-850c-468d-8d1d-637c77f623ed)
[WALMART][STORE1] GET /v3/items/FaisalX-299 → 200 (tokens: 149, 487ms, cid=5ef4d72f-1b38-4e11-b712-07f032a7fb12)
[WALMART][STORE1] GET /v3/items/FaisalX-2785 → 200 (tokens: 149, 530ms, cid=b815042a-8e20-481c-be81-b8ffed15c3bc)
[WALMART][STORE1] GET /v3/items/FaisalX-379 → 200 (tokens: 149, 442ms, cid=14807dac-5a94-4e8f-b1a0-0f844c6f0a54)
[WALMART][STORE1] GET /v3/items/FaisalX-378 → 200 (tokens: 149, 473ms, cid=065634ca-3a91-4391-bf51-ea408d3b1804)
[WALMART][STORE1] GET /v3/items/FaisalX-3775 → 200 (tokens: 148, 444ms, cid=6959e4bc-35d1-45d3-be1c-1ef30682f8e6)
[WALMART][STORE1] GET /v3/items/FaisalX-4239 → 200 (tokens: 149, 464ms, cid=7ed3d065-81e8-4863-96aa-bca12d991ef3)
[WALMART][STORE1] GET /v3/items/FaisalX-389 → 200 (tokens: 149, 478ms, cid=746c655e-ab26-41f9-9265-33b40b259b83)
[WALMART][STORE1] GET /v3/items/FaisalX-3827 → 200 (tokens: 148, 391ms, cid=c9a0a366-9c5c-48c7-84b1-ecbb3b828900)
[WALMART][STORE1] GET /v3/items/FaisalX-5285 → 200 (tokens: 149, 497ms, cid=912b548a-243e-4526-b8f3-a8fcd9328fe5)
[WALMART][STORE1] GET /v3/items/FaisalX-4869 → 200 (tokens: 149, 472ms, cid=cc010130-2ace-4b57-b820-ef17a9e64c89)
[WALMART][STORE1] GET /v3/items/FaisalX-5303 → 200 (tokens: 149, 457ms, cid=a935f03a-b337-45ad-aede-cd709df299a0)
[WALMART][STORE1] GET /v3/items/RizwanX-171 → 200 (tokens: 148, 558ms, cid=a87f7142-6959-446f-838b-6feb0475903f)
[WALMART][STORE1] GET /v3/items/FaisalX-777 → 200 (tokens: 149, 417ms, cid=7c1d9e60-90ec-4d3d-95ad-4492370d19c1)
[WALMART][STORE1] GET /v3/items/FaisalX-811 → 200 (tokens: 149, 480ms, cid=3eb4dbf5-c59e-470f-9c42-69eb6ccef65d)
[WALMART][STORE1] GET /v3/items/FaisalX-757 → 200 (tokens: 149, 423ms, cid=69d77eae-e695-4eee-9263-d95cfabc08f4)
[WALMART][STORE1] GET /v3/items/RizwanX-183 → 200 (tokens: 149, 474ms, cid=4157c659-6315-4dd8-bd06-f6072bfc76f7)
[WALMART][STORE1] GET /v3/items/RizwanX-2298 → 200 (tokens: 148, 457ms, cid=d6b80a69-7dcd-4e8f-b80a-4ebc1eaeec38)
[WALMART][STORE1] GET /v3/items/RizwanX-2334 → 200 (tokens: 149, 570ms, cid=566aa26c-6540-4e34-9099-b3e583c18305)
[WALMART][STORE1] GET /v3/items/RizwanX-204 → 200 (tokens: 149, 446ms, cid=41274164-386e-4b9a-a4e2-8dd7215740ee)
[WALMART][STORE1] GET /v3/items/RizwanX-2726 → 200 (tokens: 149, 436ms, cid=e5318178-59fa-4c7f-abbd-dd91c80d73bf)
[WALMART][STORE1] GET /v3/items/RizwanX-2415 → 200 (tokens: 149, 400ms, cid=b5c74a37-fd60-438c-9bb9-036910772764)
[WALMART][STORE1] GET /v3/items/RizwanX-3135 → 200 (tokens: 149, 731ms, cid=84c3829e-0c7e-40ad-a4c6-65720c416d64)
[WALMART][STORE1] GET /v3/items/RizwanX-3115 → 200 (tokens: 149, 459ms, cid=51171205-6db5-4d7a-8b6a-ffcfb3fb41ee)
[WALMART][STORE1] GET /v3/items/RizwanX-2487 → 200 (tokens: 149, 506ms, cid=9f3bb4d3-3f92-468c-848d-645d77f094ce)
[WALMART][STORE1] GET /v3/items/RizwanX-3284 → 200 (tokens: 149, 458ms, cid=ba63df7b-686d-49ec-834d-9040ae841d69)
[WALMART][STORE1] GET /v3/items/RizwanX-3318 → 200 (tokens: 149, 442ms, cid=e7a5ad83-caf7-49f6-af8d-c8ce35cffa01)
[WALMART][STORE1] GET /v3/items/RizwanX-3169 → 200 (tokens: 149, 454ms, cid=3f57d915-af8c-49dc-9adc-f6bbcfebad85)
[WALMART][STORE1] GET /v3/items/FaisalX-1179 → 200 (tokens: 148, 451ms, cid=67b0d1bc-35f9-4f56-86e3-3ef397ecae57)
[WALMART][STORE1] GET /v3/items/RizwanX-44 → 200 (tokens: 149, 679ms, cid=68686e29-a432-4aae-a9fd-e41ed19f3df0)
[WALMART][STORE1] GET /v3/items/FaisalX-1237 → 200 (tokens: 149, 454ms, cid=f7c1614d-96a3-4a48-b36a-2756cbbc3b59)
[WALMART][STORE1] GET /v3/items/FaisalX-238 → 200 (tokens: 149, 522ms, cid=4d0e881f-c851-4b83-a92a-1761ec34048c)
[WALMART][STORE1] GET /v3/items/FaisalX-1771 → 200 (tokens: 149, 426ms, cid=17507326-886c-4d3a-85c5-9303553d7754)
[WALMART][STORE1] GET /v3/items/FaisalX-2013 → 200 (tokens: 149, 445ms, cid=cd7159ea-bd2f-4e73-95e5-6b1a28f62c10)
[WALMART][STORE1] GET /v3/items/FaisalX-1911 → 200 (tokens: 149, 436ms, cid=d5f5ae62-c5f2-448d-adbe-b8d689314405)
[WALMART][STORE1] GET /v3/items/FaisalX-2751 → 200 (tokens: 149, 409ms, cid=cf8a7fd0-f9e1-4295-a3d5-b9cc8808ff26)
[WALMART][STORE1] GET /v3/items/FaisalX-3331 → 200 (tokens: 148, 464ms, cid=7c03c27b-286b-41f1-a98f-0a5a8b755889)
[WALMART][STORE1] GET /v3/items/FaisalX-245 → 200 (tokens: 148, 403ms, cid=14dd53dd-6e0c-4c7e-896a-ab36485db714)
[WALMART][STORE1] GET /v3/items/FaisalX-2587 → 200 (tokens: 149, 455ms, cid=a3b49ff3-6868-48c8-a9ca-a7935547be2a)
[WALMART][STORE1] GET /v3/items/FaisalX-247 → 200 (tokens: 149, 462ms, cid=cde36c60-96a3-4b89-aa37-372ed0946bd2)
[WALMART][STORE1] GET /v3/items/FaisalX-3506 → 200 (tokens: 149, 492ms, cid=49bbac9b-b4bc-46db-b772-78b67bfa401d)
[WALMART][STORE1] GET /v3/items/FaisalX-3489 → 200 (tokens: 149, 436ms, cid=21550d33-2b28-40b6-8866-dc2ff77dac7e)
[WALMART][STORE1] GET /v3/items/FaisalX-3466 → 200 (tokens: 149, 483ms, cid=aac22c48-0b45-43f2-be54-c7e29cf30673)
[WALMART][STORE1] GET /v3/items/FaisalX-3675 → 200 (tokens: 149, 461ms, cid=3271e659-0a0c-4192-aa95-036feb9dc5eb)
[WALMART][STORE1] GET /v3/items/FaisalX-3883 → 200 (tokens: 148, 1022ms, cid=196b6d1c-de73-420f-b9ea-63453dbfaa9e)
[WALMART][STORE1] GET /v3/items/FaisalX-3759 → 200 (tokens: 148, 1088ms, cid=4012b890-6783-40d5-922e-3972f0e38853)
[WALMART][STORE1] GET /v3/items/FaisalX-373 → 200 (tokens: 149, 828ms, cid=744f5ceb-b1e9-460f-8a46-3043474abd00)
[WALMART][STORE1] GET /v3/items/FaisalX-3965 → 200 (tokens: 149, 1241ms, cid=2e438ffc-437b-4863-89b8-fcff36a9ff2c)
