ordinal,sku,asin,disposition,recipe_keys,expected_total_units,current_other_slots,current_additional_after_card,approved_card_slots,hard_violation_codes,hold_reason_codes,relaxed_exceptions_applied,explicit_wrong_product_or_claim,source_row_evidence_sha256,row_evidence_sha256
1,AC-AS4J-B64F,B0H82ZZS2P,KEEP,PB_CHOCOLATE_FLAVORED_SPREAD,24,7,6,1,,,,false,70f4e8ed6088fd91c1d24ab3786bd4aa6a842802fdb3279d123975d268581b18,9c5eabe54e5b3c25353dbb1a812fd0833e69b0e2a7e37cec94bd8a2b2e270837
2,AD-AS4H-QXZD,B0H82J6V9T,KEEP,PB_HONEY,24,5,4,1,,,,false,64ab8304d5d652a06514ff599373a9e690c386efd56724b7651df57d4df37f26,71b2b4a53cdbd1b8782919f421126cf0578d524d6d488abe259756cb8d72d504
3,AG-ASKV-W9EN,B0H85B64V2,KEEP,PB_HONEY|PB_STRAWBERRY,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,47f26b15dba9612b0c8621abfda3664c02e169382df4aaa7ff30e8ee1f5cd863,a4cda154a07142bf69922d5c6cd4f79e4528efbd71d5b75a91b79a22f0a62f5a
4,AJ-ASRB-HKC3,B0H84G7DHC,KEEP,PB_RASPBERRY|PB_MIXED_BERRY_MORNING_PROTEIN,24,7,6,1,,,,false,432b568f501cf3fc20ad9503f407ee6c81472893c82d43ca14697b58606fbe60,d7c51b91c84c0672edf1f033eae7ce447b44cd0dc434c6b8cba1026fb5d65095
5,AN-ASUW-49Y5,B0H8628LW3,KEEP,CHOCOLATE_HAZELNUT|PB_STRAWBERRY,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,6c341185f09d0820c3a9fb3b868c9c1ed828b315421b5a90b5d04b100d71720a,d9e5499637ad93a5d50ff7fbe79f9a07865e6ce6f7351baa6ab022a29aec0737
6,AU-AS97-USX8,B0H843Q9B5,KEEP,PB_RASPBERRY|PB_PLAIN,24,7,6,1,,,,false,4f3383444dc90dcf400de7ecc11576c1768ea587cc5390f049d191cd49bd4dd0,e70bff9f96851e4010ae8bde5e00c36b20541903ad4be31d47e5b4b2d17a89ed
7,AV-AS7X-8EXK,B0H82JTY19,KEEP,WHOLE_WHEAT_PB_STRAWBERRY,45,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,5ddf387fcf467419d0aa069bf609276f5f6b3ee862eb2ba6136cfb0cf53bc323,17324c68cb80d9b4ea179799581bbb0737054cca094ca4549098380c10bab4ca
8,AY-AS5F-JEY9,B0H83MWTM7,KEEP,WHOLE_WHEAT_PB_STRAWBERRY,120,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,51f33a28c84b45fb20c7e79301c9a66b7cdf7454127d6a6b08dffef0fcd89b71,c0f18c8b821afb7b74cd65091c2f25f68413c0320179e3d7d03226452c86ebcb
9,AZ-ASMY-VEQ2,B0H788M8WM,KEEP,PB_STRAWBERRY,30,6,5,1,,,,false,36b60082d270918df02c5214e869214ac5deb32c9b97676c2cbe92bc523020e6,71cb040580ea94175a43f9be890ae1db91056ffa83a7abf220443a6645a097b2
10,BD-AS8P-XAW5,B0H85MXFH8,KEEP,PB_APPLE_CINNAMON_PROTEIN|PB_GRAPE,24,7,6,1,,,,false,8a2117bbeca9b93ec60d1d2a978d19c27e0f202231b9ff13cf6182ba2cd62768,b824a3f7b11af4b9cd3af62fb70d5cbf4141999670c510c5d6956ae94d4466cc
11,BD-ASGH-LREJ,B0H86Z59DW,KEEP,PB_HONEY|WHOLE_WHEAT_PB_STRAWBERRY,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,8feb2288e484a308e90268d00e25c6e82147c699cd5d80bbd9ca8b02626d0809,4fb98a6ccae3eb1e8bb4ee2a5268f0b149ccb73e8009104cb1f9ba3121ea5f11
12,BH-AS7H-D4FV,B0H853MCYZ,KEEP,PB_HONEY|PB_BLACKBERRY,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,64fc5113d1d215a25824325f2d5e530b23f3f0158003eced91c75578d49e4f13,687025c9f7def417dcf70c26ffa0277dea99236aced6f0343a3ea8fdc28d68d8
