ordinal,sku,asin,status,other_slot_count,slot_indices,approved_card_slots,approved_card_exact_slot_1,additional_after_fixed_card,additional_count_4_to_6,relaxed_relevant_additional,obvious_irrelevant_additional,unknown_relevance_additional,slots_contiguous,exact_urls_unique,exact_asset_sha256_unique,known_true_visual_duplicate_count,local_binary_evidence_complete,fresh_secondary_binary_evidence_count,current_matches_sealed_after,remote_url_reachability_freshly_checked,needs_fix_reasons,unknown_reasons,listing_sha256,row_evidence_sha256
1,AC-AS4J-B64F,B0H82ZZS2P,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,true,false,,,43374c6b25a7d0407e4de07ad3c062572ff7a90aaf106dc524bc2637d3d6e830,70f4e8ed6088fd91c1d24ab3786bd4aa6a842802fdb3279d123975d268581b18
2,AD-AS4H-QXZD,B0H82J6V9T,PASS,5,1|2|3|4|5,1,true,4,true,4,0,0,true,true,true,0,true,0,true,false,,,b21b98079295c5b234d4a10457abece181fdfe79a78575ffd60db1833084f111,64ab8304d5d652a06514ff599373a9e690c386efd56724b7651df57d4df37f26
3,AG-ASKV-W9EN,B0H85B64V2,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,e98deab804cce4acb07e89dc3bc01323d42a9fca33c9854a08b05aa9e6458ee8,47f26b15dba9612b0c8621abfda3664c02e169382df4aaa7ff30e8ee1f5cd863
4,AJ-ASRB-HKC3,B0H84G7DHC,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,6c07adc219f830852d73b7434f8f7e1e5284d637466b48f792552f0ba19f9a84,432b568f501cf3fc20ad9503f407ee6c81472893c82d43ca14697b58606fbe60
5,AN-ASUW-49Y5,B0H8628LW3,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,cd3b33a74d9028e05fd4cc6ad7faa18d6858a2648027e4c11ab0067c2b981d13,6c341185f09d0820c3a9fb3b868c9c1ed828b315421b5a90b5d04b100d71720a
6,AU-AS97-USX8,B0H843Q9B5,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,d85e6b6b314a0f1f8c14ea40062416a252e51443aafdb1a6cb4f8a4bc93fa462,4f3383444dc90dcf400de7ecc11576c1768ea587cc5390f049d191cd49bd4dd0
7,AV-AS7X-8EXK,B0H82JTY19,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,bfe79fddaa070592159249c9496d15d48362295b869dd43b52b21df6254e3ed4,5ddf387fcf467419d0aa069bf609276f5f6b3ee862eb2ba6136cfb0cf53bc323
8,AY-AS5F-JEY9,B0H83MWTM7,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,43c2398ad541f81a20720a7da59eb3fa18b964d3412f7d7ecff9c4c6c5d0f43a,51f33a28c84b45fb20c7e79301c9a66b7cdf7454127d6a6b08dffef0fcd89b71
9,AZ-ASMY-VEQ2,B0H788M8WM,PASS,6,1|2|3|4|5|6,1,true,5,true,5,0,0,true,true,true,0,true,0,true,false,,,15708cd23449990940815147bd33bfaf1ff31ccb9d4f3244960aaf08bb5d0125,36b60082d270918df02c5214e869214ac5deb32c9b97676c2cbe92bc523020e6
10,BD-AS8P-XAW5,B0H85MXFH8,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,623c44e09bda48af30818aa583046ff61b0d97b16117a01eedee5ce255b6989f,8a2117bbeca9b93ec60d1d2a978d19c27e0f202231b9ff13cf6182ba2cd62768
