sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price
AC-AS4J-B64F	76.99	66.95	76.99
AD-AS4H-QXZD	76.99	66.95	76.99
AG-ASKV-W9EN	76.99	66.95	76.99
AJ-ASRB-HKC3	76.99	66.95	76.99
AN-ASUW-49Y5	76.99	66.95	76.99
AU-AS97-USX8	76.99	66.95	76.99
AV-AS7X-8EXK	130.99	114.27	130.99
AY-AS5F-JEY9	297.99	258.57	297.99
AZ-ASMY-VEQ2	85.99	74.75	85.99
BD-AS8P-XAW5	76.99	66.95	76.99
BD-ASGH-LREJ	76.99	66.95	76.99
BH-AS7H-D4FV	76.99	66.95	76.99
BH-ASTN-S4XJ	76.99	66.95	76.99
BH-ASVY-CR8H	297.99	258.57	297.99
BK-AS5Z-8UY5	76.99	66.95	76.99
BM-AS5J-3MQY	252.99	219.57	252.99
BQ-ASUE-NT37	76.99	66.95	76.99
BX-AS5P-6WQV	297.99	258.57	297.99
BY-ASY2-8UJJ	85.99	74.75	85.99
CE-ASGK-ZRHM	76.99	66.95	76.99
CK-ASUM-WT9W	76.99	66.95	76.99
CN-ASG6-892G	297.99	258.57	297.99
DA-ASF0-D7RG	252.99	219.57	252.99
DF-ASQT-BLUQ	130.99	114.27	130.99
DP-ASQ6-ZPZU	76.99	66.95	76.99
DY-AS8W-6MJG	130.99	114.27	130.99
EF-AS4A-JCLU	76.99	66.95	76.99
EJ-ASCD-8K87	252.99	219.57	252.99
ER-ASRK-TPYQ	76.99	66.95	76.99
ES-AS8A-3W3M	85.99	74.75	85.99
EW-ASJ9-E79N	85.99	74.75	85.99
EW-ASWP-PMZX	85.99	74.75	85.99
EX-ASC0-5CRL	297.99	258.57	297.99
EZ-ASLA-Y7MZ	252.99	219.57	252.99
FK-AS6B-6G25	76.99	66.95	76.99
FM-AS51-S4MT	76.99	66.95	76.99
FN-ASVM-UWAG	76.99	66.95	76.99
FR-AS6X-5KJY	76.99	66.95	76.99
FV-AS47-EJZW	130.99	114.27	130.99
FX-AS2W-KHZT	76.99	66.95	76.99
GG-ASNC-C9WA	85.99	74.75	85.99
GR-AS0R-YPCF	85.99	74.75	85.99
GR-AS1P-DBB2	76.99	66.95	76.99
GU-ASQ1-S7M6	85.99	74.75	85.99
GX-ASTJ-WHV3	76.99	66.95	76.99
HA-ASCR-ME3A	76.99	66.95	76.99
HD-ASEQ-MFAY	252.99	219.57	252.99
HR-AS7Q-7ZDF	76.99	66.95	76.99
HU-ASMI-DN3X	85.99	74.75	85.99
HX-ASO8-XCL2	130.99	114.27	130.99
HZ-ASPS-4L22	76.99	66.95	76.99
JC-ASM4-XXW7	76.99	66.95	76.99
JH-ASV9-Z46X	76.99	66.95	76.99
JL-ASUC-JUZE	130.99	114.27	130.99
JS-AS5F-QB8T	85.99	74.75	85.99
JT-ASKD-KS8T	297.99	258.57	297.99
JU-ASM0-KV4Z	76.99	66.95	76.99
JU-ASYC-SSJD	76.99	66.95	76.99
JY-ASPW-LB4K	76.99	66.95	76.99
KD-AS12-8HZ3	76.99	66.95	76.99
KN-ASYZ-ST4M	76.99	66.95	76.99
KP-ASYC-RN84	252.99	219.57	252.99
LH-ASP7-KZR4	252.99	219.57	252.99
LJ-ASYO-FWJK	76.99	66.95	76.99
LK-AS7X-K43B	76.99	66.95	76.99
LP-AS9J-HSVB	76.99	66.95	76.99
LU-ASK0-LSDF	76.99	66.95	76.99
ME-AS1I-SEX2	252.99	219.57	252.99
MF-AS0J-YRT4	76.99	66.95	76.99
MP-ASYO-QNU2	76.99	66.95	76.99
MP-ASZ9-TKE7	85.99	74.75	85.99
NC-ASPL-EXE8	76.99	66.95	76.99
NJ-ASAC-PTK2	76.99	66.95	76.99
NM-ASEW-S2SK	76.99	66.95	76.99
NS-ASSD-B3JJ	76.99	66.95	76.99
NT-ASIL-V5LK	76.99	66.95	76.99
NV-AS86-HD44	76.99	66.95	76.99
PB-ASAF-G2T6	76.99	66.95	76.99
PJ-ASAX-6LTG	252.99	219.57	252.99
PJ-ASDX-E8LW	76.99	66.95	76.99
PL-ASR9-U94A	130.99	114.27	130.99
PP-AS23-SPLQ	76.99	66.95	76.99
PR-AS79-8SDF	85.99	74.75	85.99
PT-AS5B-Z2XH	76.99	66.95	76.99
PU-AS3D-SA5Z	297.99	258.57	297.99
PW-ASDZ-CSR8	130.99	114.27	130.99
PY-ASBM-WX6W	76.99	66.95	76.99
QC-ASX2-RHPA	297.99	258.57	297.99
QE-ASEQ-4YV5	76.99	66.95	76.99
QP-ASAD-PTLX	76.99	66.95	76.99
QW-ASRZ-SYKC	297.99	258.57	297.99
QX-AS89-H8YC	76.99	66.95	76.99
QX-ASS6-4T4F	252.99	219.57	252.99
RB-ASVO-GYCY	76.99	66.95	76.99
RH-ASWA-ER34	76.99	66.95	76.99
RL-AS64-Q8QX	85.99	74.75	85.99
RM-ASCV-DVA5	76.99	66.95	76.99
RN-ASLP-VH3X	85.99	74.75	85.99
RQ-AS0L-9B45	76.99	66.95	76.99
RQ-AS78-STLZ	76.99	66.95	76.99
RQ-ASM7-T9NN	252.99	219.57	252.99
RR-ASG1-JVKV	130.99	114.27	130.99
RS-AS47-M3K3	76.99	66.95	76.99
RU-ASC3-4TUS	76.99	66.95	76.99
RY-ASMO-6N4F	76.99	66.95	76.99
RY-ASO3-24Q2	76.99	66.95	76.99
RZ-AS26-WLRM	76.99	66.95	76.99
SA-ASCK-J2B2	130.99	114.27	130.99
SA-ASDW-SNEW	130.99	114.27	130.99
SC-ASH8-4RQG	76.99	66.95	76.99
SG-AS32-LZ9Y	76.99	66.95	76.99
SG-ASLB-M2DG	76.99	66.95	76.99
SH-ASO0-PW37	76.99	66.95	76.99
SS-AS9K-U9TV	130.99	114.27	130.99
SU-ASS4-RV6R	76.99	66.95	76.99
SV-AS87-D6SV	76.99	66.95	76.99
TH-AS6D-CCES	76.99	66.95	76.99
TL-ASHN-ZRKG	76.99	66.95	76.99
TP-AS91-8PAZ	85.99	74.75	85.99
TQ-ASBR-96TC	76.99	66.95	76.99
TQ-ASC4-P2NP	252.99	219.57	252.99
UA-ASAO-RE7Q	130.99	114.27	130.99
UD-AS9J-QNY6	252.99	219.57	252.99
UE-ASA6-CLLY	76.99	66.95	76.99
UF-ASA1-GN5P	76.99	66.95	76.99
UG-ASUO-L4D9	252.99	219.57	252.99
UJ-ASQ1-9FNR	76.99	66.95	76.99
UY-AS5N-A2E4	297.99	258.57	297.99
VA-ASOK-QJCA	76.99	66.95	76.99
VC-ASQE-L5Z5	130.99	114.27	130.99
VC-ASV1-378P	252.99	219.57	252.99
VH-ASHZ-TJEE	76.99	66.95	76.99
VK-ASSB-3YFK	76.99	66.95	76.99
VN-AS6Q-5AE9	76.99	66.95	76.99
VT-ASTH-B6LM	76.99	66.95	76.99
WC-ASH5-EFN6	85.99	74.75	85.99
WK-AS2R-FJUW	252.99	219.57	252.99
WK-AS7E-M3CE	76.99	66.95	76.99
WK-ASPD-G9HL	76.99	66.95	76.99
WN-AS33-UFEA	297.99	258.57	297.99
WR-ASR5-AVWE	76.99	66.95	76.99
WR-ASTH-TPXV	76.99	66.95	76.99
WZ-ASXK-ZFAS	76.99	66.95	76.99
XE-ASK1-BNRB	130.99	114.27	130.99
XJ-ASVD-CDMW	130.99	114.27	130.99
XV-ASEU-GDUX	130.99	114.27	130.99
XW-ASSI-SZZT	76.99	66.95	76.99
YA-ASX6-PZE7	85.99	74.75	85.99
YF-ASZJ-8BBH	85.99	74.75	85.99
YG-ASH6-BCXX	76.99	66.95	76.99
YH-ASQ8-45ED	130.99	114.27	130.99
YM-AS7P-ZX44	297.99	258.57	297.99
YV-AST8-LMKN	76.99	66.95	76.99
ZB-ASKL-9W8G	130.99	114.27	130.99
ZC-ASDC-3QMV	297.99	258.57	297.99
ZE-AS5W-FKH3	76.99	66.95	76.99
ZH-AS8W-G5MN	85.99	74.75	85.99
ZP-ASJD-X7ZD	76.99	66.95	76.99
ZX-AS2C-GT8Q	85.99	74.75	85.99
ZX-ASQU-TKU9	76.99	66.95	76.99
ZY-ASZ4-QM5U	297.99	258.57	297.99
