"ASIN";"SKU";"Title";"Labels";"CostPeriodStartDate";"Cost";"ShippingCostPerOrder";"ShippingProfile";"SurchargeForShippingAbroad";"Value_of_unsellable_returns";"VAT";"VAT_DE_2020";"VAT_CATEGORY";"Hide";"Marketplace"
"B0FNKQT32L";"1CDC-580Z-7PLZ";"Salutem Vita – Tempura Shrimp in Crispy Coating, Frozen Seafood Gift Set, 8,2 oz – Pack of 5";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0CNS7NRHM";"GW-6SN0-SSZN";"Salutem Vita - Styrofoam Cooler, Ice Chest (47qt), Inside: 21 x 13 x 11 (inches) Outside: 24 x 16 x 13 (inches)";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FNKQGJ4Q";"1CDC-5803-SLQX";"Salutem Vita – Oven Crispy Popcorn Shrimp, Easy-to-Bake Seafood Gift Set, 25 oz – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FNKNN3PT";"1CDC-580A-OSCZ";"Salutem Vita – Shrimp Spring Rolls with Sweet Thai Chili Sauce, BAP Certified Frozen, Gift Set, 18 oz – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FNKQVR8F";"1CDC-580Z-BBAW";"Salutem Vita – Gluten-Free Extra Crispy Fast Food Fries, Gift Set, 26 oz – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWLX6MD";"1CDC-581C-HN20";"Salutem Vita – Strawberry Toaster Pastries with Icing, Breakfast Treat Gift Set – Pack of 8";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FC2WF7H8";"1CDC-580Z-8RPX";"Salutem Vita – Teriyaki Noodles Pasta Cup, 2.6 oz, Gift Set – Pack of 12";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B07BR1YD2T";"";"Smells Begone Essential Oil Air Freshener Bathroom Spray - Eliminates, Neutralizes and Purifies Air & Toilet Odors - Made with 100% Pure Essential Oils - 4 Ounces";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B07VZ7FMT6";"1K-9KI4-ERZX";"USB C Hub Multiport Adapter - iDriveTech 10 in 1. 4x USB Ports, HDMI and VGA ports, SD/TF Card Reader, Gigabit Ethernet port, USB-C port. Compatible MacBook Pro and more Type C Devices (Thunderbolt 3)";"";"";"23";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B08744R2C3";"3T-NF5F-R3LP";"Premium Epic Organic Aloe Vera Gel 8 oz - 100 Percent Pure for Face and Body After Sun Care - [8 oz]";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B08ZNXN2CS";"";"Ontel Arctic Ultra Air Conditioner";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B082BH5K44";"";"ZippyPaws Sports Ballz";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B091V8PF6C";"";"Shark Navigator Lift-Away Deluxe NV360 Upright Vacuum, Blue";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B091TLCVM8";"";"Shark APEX AZ1002 DuoClean with Self-Cleaning Brushroll Lift-Away Upright Vacuum, Crevice and Upholstery Tools, Pet Power Brush.88 Dry Quarts, Espresso";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B08TJYW9CS";"";"Copco Basics Non-Skid Pantry Cabinet Lazy Susan Turntable";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B07X2M17B2";"";"Fat Daddio's PRD";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B08W62KPCM";"";"Silver Buffalo Disney Water Bottle, 20 oz, Multicolor";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B088N9M2ZF";"";"Copco Non-Skid Pantry Cabinet Lazy Susan Turntable";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B07VKQ6R55";"";"Fat daddio de aluminio anodizado redonda para tarta sartenes";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B08HF5K5Q9";"";"Copco Non-Skid Pantry Cabinet Lazy Susan Turntable";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B08CMRW811";"";"Copco armário antiderrapante preguiçoso Susan toca-discos";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0875RP8WB";"";"Fat Daddio's PRD";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B00E7JL2VQ";"";"Fat Daddio's Anodized Aluminum Round Cake Pans";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B08BK3VPSJ";"";"ExcelSteel Heavy Gauge Mesh Colander";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B08CMMM4QY";"";"Escorredor de malha ExcelSteel calibre pesado";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B091PLPTQC";"";"Rit Dye RIT COLORSTAY, 8 fl oz, Dye Fixative";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FNKRGL6S";"1CDC-5815-V30A";"Salutem Vita – Gluten-Free Hash Brown Potatoes, Perfect for Breakfast and Brunch, Gift Set, 48 oz – Pack of 4";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWNN1HD";"1CDC-580A-PIO6";"Salutem Vita – Moist Supreme Yellow Cake Mix, Baking Essentials, 16 oz, Gift Set – Pack of 8";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0CJVSNKB5";"1CDC-57Z1-WUJJ";"Salutem Vita - Premium Insulated Cooler Bags for Picnics and Shopping - Keep Your Food and Drinks Cold on the Go! - Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FNKQ7T8K";"1CDC-580Z-9G9R";"Salutem Vita – Gluten-Free Shredded Hash Brown Potatoes, Gift Set, 30 oz – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0F1W3BCGV";"1CDC-5803-PUKZ";"Salutem Vita – Complete Nutrition Chicken Dog Food Roll, Ready-to-Serve Chilled Meal, Gift Set: 1.5 lb - Pack of 4 (Total 6 lb)";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWN9VJR";"1CDC-5803-QHFS";"Salutem Vita – Apple Toaster Pastries, Value Size, Gift Set – Pack of 4";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FBMJTGR5";"1CDC-580J-TPSF";"Salutem Vita – Mac and Cheese Cups with Unicorn Pasta Shapes, Microwavable Dinner Gift Set, 7.6 oz, 4ct – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FNKRDZKL";"1CDC-580Z-9RD0";"Salutem Vita – Gluten-Free Frozen Golden Crinkles French Fries, Gift Set, 32 oz – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWPV5NJ";"1CDC-581C-I625";"Salutem Vita – Premium Devil's Food Cake Mix, Rich Chocolate Dessert Baking, 16 oz, Gift Set – Pack of 8";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FNKQRZC3";"1CDC-580Z-AHNM";"Salutem Vita – Gluten-Free Frozen Golden Fries, Gift Set, 32 oz – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWMW6KP";"1CDC-580J-T3U7";"Salutem Vita – Original Crescent Rolls Dough, Flaky Pastry Baking Gift Set – Pack of 4";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FNKPTL62";"1CDC-57ZH-YRSM";"Salutem Vita – Gluten-Free Extra Crispy Frozen Tater Tots, Gift Set, 28 oz – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWMQRD3";"1CDC-57ZW-A3NB";"Salutem Vita – Flaky Layers Biscuits, Southern Homestyle Buttermilk Biscuits, Butter Tastin' Biscuits, Cinnamon Rolls with Icing, Gift Set – Pack of 4";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FLWNP64L";"1CDC-57ZO-VC90";"Salutem Vita – Gluten-Free Funfetti Cake Mix with Candy Bits, 16 oz, Gift Set – Pack of 2";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0CJT799SL";"1CDC-57Z1-XI9B";"Salutem Vita - Styrofoam Cooler, Ice Chest (27qt)";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FNKQ2683";"1CDC-57ZH-WLI8";"Salutem Vita – Gluten-Free Frozen Thick Cut Steak Fries, Gift Set, 28 oz – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0CNS7NRHM";"1CDC-57ZW-CJOA";"Salutem Vita - Styrofoam Cooler, Ice Chest (47qt), Inside: 21 x 13 x 11 (inches) Outside: 24 x 16 x 13 (inches)";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWL998W";"1CDC-57ZH-YUND";"Salutem Vita – Homestyle Butter Tastin' Biscuits, Gift Set – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FNKQ74WR";"1CDC-57Z9-GSBK";"Salutem Vita – Gluten-Free Shredded Hash Brown Potatoes, Gift Set, 30 oz – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0F4V2JYHF";"1CDC-5815-UTTV";"Salutem Vita – Original Premium Pork Sausage, Hot Sausage Roll, Country Mild Sausage Roll, Maple Pork Sausage Roll, Sage Breakfast Sausage Roll, Italian Pork Sausage Roll, Gift Set 1,0 lbs – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FNKRQ789";"1CDC-581C-ILKK";"Salutem Vita – Gluten-Free Seasoned Shredded Potatoes Tater Tots, Gift Set, 32 oz – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0CJT5B33Y";"1CDC-57Z1-X22Y";"Salutem Vita - 22qt Styrofoam Cooler | Large Lightweight Insulated Ice Chest for Food, Drinks & Medical Transport | Inside: 12.5 x 10.5 x 10.75 inches, Outside: 14.5 x 12.5 x 12.75 inches.";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
