upc,state,source_order,check_digit_valid,assigned_sku,marketplace_status,last_updated
756441901405,available,ancien 2024-10-21,true,,,
756441901412,available,ancien 2024-10-21,true,,,
756441901429,available,ancien 2024-10-21,true,,,
756441901467,available,ancien 2024-10-21,true,,,
756441901498,available,ancien 2024-10-21,true,,,
756441901504,available,ancien 2024-10-21,true,,,
756441901511,available,ancien 2024-10-21,true,,,
756441901528,available,ancien 2024-10-21,true,,,
756441901559,available,ancien 2024-10-21,true,,,
756441901573,available,ancien 2024-10-21,true,,,
756441901610,available,ancien 2024-10-21,true,,,
756441901641,available,ancien 2024-10-21,true,,,
756441901658,available,ancien 2024-10-21,true,,,
756441901672,available,ancien 2024-10-21,true,,,
756441901702,available,ancien 2024-10-21,true,,,
756441901719,available,ancien 2024-10-21,true,,,
756441901726,available,ancien 2024-10-21,true,,,
756441901764,available,ancien 2024-10-21,true,,,
756441901856,available,ancien 2024-10-21,true,,,
756441901863,available,ancien 2024-10-21,true,,,
756441901887,available,ancien 2024-10-21,true,,,
756441901894,available,ancien 2024-10-21,true,,,
756441901900,available,ancien 2024-10-21,true,,,
756441901917,available,ancien 2024-10-21,true,,,
756441901924,available,ancien 2024-10-21,true,,,
756441901931,available,ancien 2024-10-21,true,,,
756441901948,available,ancien 2024-10-21,true,,,
756441901955,available,ancien 2024-10-21,true,,,
756441901962,available,ancien 2024-10-21,true,,,
756441901979,available,ancien 2024-10-21,true,,,
756441901986,available,ancien 2024-10-21,true,,,
756441902099,available,ancien 2024-10-21,true,,,
756441902150,available,ancien 2024-10-21,true,,,
756441902167,available,ancien 2024-10-21,true,,,
756441902174,available,ancien 2024-10-21,true,,,
756441902181,available,ancien 2024-10-21,true,,,
756441902211,available,ancien 2024-10-21,true,,,
756441902273,available,ancien 2024-10-21,true,,,
756441902303,available,ancien 2024-10-21,true,,,
756441902327,available,ancien 2024-10-21,true,,,
756441902549,available,ancien 2024-10-21,true,,,
756441902556,available,ancien 2024-10-21,true,,,
756441902563,available,ancien 2024-10-21,true,,,
756441902570,available,ancien 2024-10-21,true,,,
756441902600,available,ancien 2024-10-21,true,,,
756441902631,available,ancien 2024-10-21,true,,,
756441902716,available,ancien 2024-10-21,true,,,
756441902730,available,ancien 2024-10-21,true,,,
756441902853,available,ancien 2024-10-21,true,,,
756441902877,available,ancien 2024-10-21,true,,,
756441902907,available,ancien 2024-10-21,true,,,
756441902938,available,ancien 2024-10-21,true,,,
756441902969,available,ancien 2024-10-21,true,,,
756441903034,available,ancien 2024-10-21,true,,,
756441903119,available,ancien 2024-10-21,true,,,
756441903157,available,ancien 2024-10-21,true,,,
756441903201,available,ancien 2024-10-21,true,,,
756441903218,available,ancien 2024-10-21,true,,,
756441903225,available,ancien 2024-10-21,true,,,
756441903249,available,ancien 2024-10-21,true,,,
756441903270,available,ancien 2024-10-21,true,,,
756441903294,available,ancien 2024-10-21,true,,,
756441903300,available,ancien 2024-10-21,true,,,
756441903331,available,ancien 2024-10-21,true,,,
756441903355,available,ancien 2024-10-21,true,,,
756441903362,available,ancien 2024-10-21,true,,,
756441903379,available,ancien 2024-10-21,true,,,
756441903478,available,ancien 2024-10-21,true,,,
756441903577,available,ancien 2024-10-21,true,,,
756441903591,available,ancien 2024-10-21,true,,,
756441903607,available,ancien 2024-10-21,true,,,
756441903614,available,ancien 2024-10-21,true,,,
756441903621,available,ancien 2024-10-21,true,,,
756441903720,available,ancien 2024-10-21,true,,,
756441903744,available,ancien 2024-10-21,true,,,
756441903805,available,ancien 2024-10-21,true,,,
756441903812,available,ancien 2024-10-21,true,,,
756441903829,available,ancien 2024-10-21,true,,,
756441903836,available,ancien 2024-10-21,true,,,
756441903867,available,ancien 2024-10-21,true,,,
756441903928,available,ancien 2024-10-21,true,,,
756441903935,available,ancien 2024-10-21,true,,,
756441903942,available,ancien 2024-10-21,true,,,
756441903959,available,ancien 2024-10-21,true,,,
756441903966,available,ancien 2024-10-21,true,,,
756441903973,available,ancien 2024-10-21,true,,,
756441903980,available,ancien 2024-10-21,true,,,
756441903997,available,ancien 2024-10-21,true,,,
756441904079,available,ancien 2024-10-21,true,,,
756441904086,available,ancien 2024-10-21,true,,,
756441904093,available,ancien 2024-10-21,true,,,
756441904109,available,ancien 2024-10-21,true,,,
756441904116,available,ancien 2024-10-21,true,,,
756441904123,available,ancien 2024-10-21,true,,,
756441904161,available,ancien 2024-10-21,true,,,
756441904314,available,ancien 2024-10-21,true,,,
756441904321,available,ancien 2024-10-21,true,,,
756441904338,available,ancien 2024-10-21,true,,,
756441904376,available,ancien 2024-10-21,true,,,
756441904383,available,ancien 2024-10-21,true,,,
756441904406,available,ancien 2024-10-21,true,,,
756441904499,available,ancien 2024-10-21,true,,,
756441904529,available,ancien 2024-10-21,true,,,
756441904581,available,ancien 2024-10-21,true,,,
756441904598,available,ancien 2024-10-21,true,,,
756441904604,available,ancien 2024-10-21,true,,,
756441904628,available,ancien 2024-10-21,true,,,
756441904673,available,ancien 2024-10-21,true,,,
756441904734,available,ancien 2024-10-21,true,,,
756441904765,available,ancien 2024-10-21,true,,,
756441904772,available,ancien 2024-10-21,true,,,
756441904789,available,ancien 2024-10-21,true,,,
756441904819,available,ancien 2024-10-21,true,,,
756441904826,available,ancien 2024-10-21,true,,,
756441904833,available,ancien 2024-10-21,true,,,
756441904840,available,ancien 2024-10-21,true,,,
756441904857,available,ancien 2024-10-21,true,,,
756441904864,available,ancien 2024-10-21,true,,,
756441904871,available,ancien 2024-10-21,true,,,
756441904888,available,ancien 2024-10-21,true,,,
756441904895,available,ancien 2024-10-21,true,,,
756441904901,available,ancien 2024-10-21,true,,,
756441905014,available,ancien 2024-10-21,true,,,
756441905069,available,ancien 2024-10-21,true,,,
756441905076,available,ancien 2024-10-21,true,,,
756441905083,available,ancien 2024-10-21,true,,,
756441905168,available,ancien 2024-10-21,true,,,
756441905175,available,ancien 2024-10-21,true,,,
756441905199,available,ancien 2024-10-21,true,,,
756441905243,available,ancien 2024-10-21,true,,,
756441905250,available,ancien 2024-10-21,true,,,
756441905267,available,ancien 2024-10-21,true,,,
756441905274,available,ancien 2024-10-21,true,,,
756441905281,available,ancien 2024-10-21,true,,,
756441905397,available,ancien 2024-10-21,true,,,
756441905427,available,ancien 2024-10-21,true,,,
756441905434,available,ancien 2024-10-21,true,,,
756441905441,available,ancien 2024-10-21,true,,,
756441905465,available,ancien 2024-10-21,true,,,
756441905472,available,ancien 2024-10-21,true,,,
756441905489,available,ancien 2024-10-21,true,,,
756441905496,available,ancien 2024-10-21,true,,,
756441905502,available,ancien 2024-10-21,true,,,
756441905519,available,ancien 2024-10-21,true,,,
756441905526,available,ancien 2024-10-21,true,,,
756441905533,available,ancien 2024-10-21,true,,,
756441905540,available,ancien 2024-10-21,true,,,
756441905557,available,ancien 2024-10-21,true,,,
756441905564,available,ancien 2024-10-21,true,,,
756441905571,available,ancien 2024-10-21,true,,,
756441905588,available,ancien 2024-10-21,true,,,
756441905595,available,ancien 2024-10-21,true,,,
756441905601,available,ancien 2024-10-21,true,,,
756441905618,available,ancien 2024-10-21,true,,,
756441905625,available,ancien 2024-10-21,true,,,
756441905632,available,ancien 2024-10-21,true,,,
756441905649,available,ancien 2024-10-21,true,,,
756441905656,available,ancien 2024-10-21,true,,,
756441905663,available,ancien 2024-10-21,true,,,
756441905670,available,ancien 2024-10-21,true,,,
756441905687,available,ancien 2024-10-21,true,,,
756441905694,available,ancien 2024-10-21,true,,,
756441905700,available,ancien 2024-10-21,true,,,
756441905717,available,ancien 2024-10-21,true,,,
756441905724,available,ancien 2024-10-21,true,,,
756441905731,available,ancien 2024-10-21,true,,,
756441905748,available,ancien 2024-10-21,true,,,
756441905755,available,ancien 2024-10-21,true,,,
756441905762,available,ancien 2024-10-21,true,,,
756441905779,available,ancien 2024-10-21,true,,,
756441905786,available,ancien 2024-10-21,true,,,
756441905793,available,ancien 2024-10-21,true,,,
756441905809,available,ancien 2024-10-21,true,,,
756441905816,available,ancien 2024-10-21,true,,,
