GEN_OK ready 11 · publishing 11 (skip already applied/qarth)

[WALMART][STORE1] token issued, expires at 2026-07-10T02:50:43.251Z
[WALMART][STORE1] GET /v3/items/FaisalX-2045 → 200 (tokens: 149, 524ms, cid=3646f90b-33de-47a0-a2b9-32a8100d731b)
[WALMART][STORE1] GET /v3/items/FaisalX-337 → 200 (tokens: 149, 851ms, cid=fda7afa2-37bb-4df6-a0d0-bb5f33b240f4)
[WALMART][STORE1] GET /v3/items/FaisalX-3448 → 200 (tokens: 149, 991ms, cid=57ab4db6-6ef1-48ac-81f6-20cd691c5574)
[WALMART][STORE1] GET /v3/items/FaisalX-3393 → 200 (tokens: 149, 749ms, cid=dfaafdd7-faed-4b65-b5d9-76a95b6337f5)
[WALMART][STORE1] GET /v3/items/FaisalX-3447 → 200 (tokens: 149, 733ms, cid=0e9a4e52-fde0-423d-92e4-cfaae961e320)
[WALMART][STORE1] GET /v3/items/FaisalX-3485 → 200 (tokens: 149, 913ms, cid=245629bd-abf4-421a-8cae-f96fce8628ca)
[WALMART][STORE1] GET /v3/items/FaisalX-3479 → 200 (tokens: 149, 1015ms, cid=a2b3b33d-d466-4908-941b-27a05c7671aa)
[WALMART][STORE1] GET /v3/items/FaisalX-3483 → 200 (tokens: 149, 938ms, cid=2bf8a733-c43c-4a58-86a0-38c6121a2ce9)
[WALMART][STORE1] GET /v3/items/FaisalX-3490 → 200 (tokens: 149, 860ms, cid=bbaf46f5-016b-491a-8d1a-e816ef49726a)
[WALMART][STORE1] GET /v3/items/FaisalX-3542 → 200 (tokens: 149, 766ms, cid=dea014c0-b197-4944-95ff-6fd5566c2953)
[WALMART][STORE1] GET /v3/items/FaisalX-3596 → 200 (tokens: 149, 1035ms, cid=401361f9-121d-44d4-8d1f-5ba5f553d249)
built 11 MPItems

[WALMART][STORE1] POST /v3/feeds?feedType=MP_MAINTENANCE → 200 (tokens: 9, 673ms, cid=ed21700f-12e1-4857-bdbb-9c7489783bf5)
  batch 1/1: feed 18C0CD2576BB5CF8… (11) draining…
[WALMART][STORE1] GET /v3/feeds/18C0CD2576BB5CF8ACE021D50CDC93C1%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 360ms, cid=f1f6477d-5e3e-4251-b425-e0d5c017c8d7)
[WALMART][STORE1] GET /v3/feeds/18C0CD2576BB5CF8ACE021D50CDC93C1%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 242ms, cid=4eff9526-161d-4861-9737-32efe9ca9726)
[WALMART][STORE1] GET /v3/feeds/18C0CD2576BB5CF8ACE021D50CDC93C1%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 539ms, cid=14c1fb4a-45ae-4e04-a86d-eec1e9dfcf3f)
[WALMART][STORE1] GET /v3/feeds/18C0CD2576BB5CF8ACE021D50CDC93C1%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 380ms, cid=692a810d-9139-4f3d-80e1-e4a096c75fee)
