SKU,Item ID,Product Name,Lifecycle Status,Publish Status,Status Change Reason,Product Category,Product Type,Price,Currency,Price Type,Promo Start Date,Promo End Date,Comparison Price,Comparison Price Type,Buy Box Item Price,Buy Box Shipping Price,Buy Box Eligible,MSRP,Product Tax Code,Ship Methods,Shipping Weight,Shipping Weight Unit,Fulfillment Lag Time,Fulfillment Type,WFS Sales Restriction,WPID,GTIN,UPC,Item Page URL,Primary Image URL,Shelf Name,Primary Category Path,Brand,Offer Start Date,Offer End Date,Item Creation Date,Item Last Updated,Reviews Count,Average Rating,Searchable?,Variant Group Id,Primary Variant?,Variant Grouping Attributes,Variant Grouping Values,Competitor URL,Competitor Price,Competitor Ship Price,Competitor Last Date Fetched,Repricer Strategy,Minimum Seller Allowed Price,Maximum Seller Allowed Price,Repricer Status,Product Condition,Lagtime Category
Athar-1218,6313163806,"Fruit Roll-Ups, Fruit by the Foot, Gushers, Snacks Variety Pack, 16 ct (Pack of 2)",ACTIVE,PUBLISHED,"",Food & Beverages,Fruit Snacks,37.79,USD,Base,"","",19.01,"","","",No,"",2049620,NETWORK_GEO,4.0,"""LB""",1,Seller Fulfilled,"",3377FH68IOKW,00725488598718,725488598718,http://www.walmart.com/ip/Fruit-Roll-Ups-Fruit-by-the-Foot-Gushers-Snacks-Variety-Pack-16-ct-Pack-of-2/6313163806,https://i5.walmartimages.com/asr/b7330ffb-6dc9-4ead-8116-d01cbf1ea992.9ba0743ca7ed4d4248f05d64645e0649.jpeg,Fruit by the Foot,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Fruit Snacks"",""Shop by Fruit Snacks Brand"",""Fruit by the Foot""]",General Mills,06/05/2024,06/05/2050,06/06/2024,07/20/2026,0,"",Y,"","","","",https://www.amazon.com/dp/B0D78GRQGZ?psc=1&th=1&vs=1,26.4,0.0,06/24/2025,"","","","",New,Food & Beverage
Athar-1581,7015261289,Liquid Advanced Formula Detox - Detoxify and Rejuvenate: Liquid Dietary Supplement for Total Body Cleanse - Supplement for Toxin Removal - 2 Pack - 2 Fl Oz (20 Servings),ACTIVE,SYSTEM_PROBLEM,Compliance - Supplement Product Type Gate,Health & Beauty,Dietary Supplements,33.74,USD,Base,"","","","","","",Yes,"",2038318,"",4.0,"""LB""",1,Seller Fulfilled,"",3L0HLE9VCTWH,00723326849008,723326849008,http://www.walmart.com/ip/Liquid-Advanced-Formula-Detox-Detoxify-Rejuvenate-Dietary-Supplement-Total-Body-Cleanse-Toxin-Removal-1-Pack-2-Fl-Oz-20-Servings/7015261289,https://i5.walmartimages.com/asr/fedb8e9d-cb4e-46f7-9be8-13ddedebb41c.40f3190068f0ec9adfe0b348fc177ed1.jpeg,Dietary supplements,"[""Home Page"",""Health and Medicine"",""Vitamins and Supplements"",""Dietary supplements""]",STARFIT,06/27/2024,06/27/2049,06/27/2024,12/18/2025,0,"",Y,"","","","",https://www.amazon.com/dp/B0D66Y6Y2Z?psc=1&th=1&vs=1,14.45,0.0,04/30/2025,"","","","",New,Medicine & Supplements
FaisalX-1218,8388171393,"Sara Lee Artesano Brioche Hot Dog Buns, 8 count, Soft Hot Dog Buns, 16 oz Bag (Pack of 4)",ACTIVE,PUBLISHED,"",Food & Beverages,Breads & Buns,32.4,USD,Base,"","","","","","",Yes,"",2038305,NETWORK_GEO,2.0,"""LB""",1,Seller Fulfilled,"",5224KHKBY4R7,00684611899286,684611899286,http://www.walmart.com/ip/Sara-Lee-Artesano-Brioche-Hot-Dog-Buns-8-count-Soft-Hot-Dog-Buns-16-oz-Bag-Pack-of-4/8388171393,https://i5.walmartimages.com/asr/ae1ef77d-dfc7-4644-b9cb-54c245cec85a.99c3fbc756b9699565e0970828c49004.png,Hamburger Buns,"[""Home Page"",""Food"",""Bakery & Bread"",""Buns"",""Hamburger Buns""]",Sara Lee,07/31/2024,07/03/2050,07/23/2024,07/20/2026,0,"",Y,Faisalxbread061,N,number_of_pieces,4,"","","","","","","","",New,Food & Beverage
FaisalX-148,7339703442,"Thomas' Cinnamon Raisin Bagels, 6 count, Soft Pre-sliced Bagels, 20 oz Bag (Pack of 2)",ACTIVE,PUBLISHED,"",Food & Beverages,Bagels,22.19,USD,Base,"","",19.98,"","","",No,"",2038305,NETWORK_GEO,2.0,"""LB""",1,Seller Fulfilled,"",2Q5O03EDPWR9,00742259721274,742259721274,http://www.walmart.com/ip/Thomas-Cinnamon-Raisin-Bagels-6-count-Soft-Pre-sliced-Bagels-20-oz-Bag-Pack-of-2/7339703442,https://i5.walmartimages.com/asr/fcc24707-112b-490a-811a-924bc121ab53.3922aa21a5a9ff66e2c592a8569a4b01.jpeg,Thomas',"[""Home Page"",""Food"",""Bakery & Bread"",""Breakfast Breads"",""Bagels"",""Thomas'""]",Thomas',07/03/2024,07/03/2050,07/03/2024,07/23/2026,11,5.0,Y,"","","","","","","","","","","","",New,Food & Beverage
FaisalX-271,7588968668,"Martin's Potato 100% Whole Wheat Bread Loaf, 20 oz (Pack of 11)",RETIRED,UNPUBLISHED,"Offer end date has passed,Reasonable Price Not Satisfied",Food & Beverages,Breads & Buns,122.19,USD,Base,"","","","","","",Yes,"",2038305,"",2.0,"""LB""",1,Seller Fulfilled,"",11AXTH4RNIND,00742259722493,742259722493,http://www.walmart.com/ip/Martin-s-Potato-100-Whole-Wheat-Bread-Loaf-20-oz-Pack-of-11/7588968668,https://i5.walmartimages.com/asr/ccf515c3-740e-4180-896a-3131acf51bd8.81cf2467c04145832049516624f061a5.jpeg,Martin's,"[""Home Page"",""Food"",""Bakery & Bread"",""Bread"",""Martin's""]",Martin's,07/31/2024,06/11/2025,07/09/2024,06/09/2026,0,"",Y,Faisalxbread012,N,number_of_pieces,11,"","","","","","","","",New,Food & Beverage
FaisalX-3408,11001862641,"Nissin Fire Wok Hot & Spicy Torched Teriyaki Chicken, 3.1oz Pillows (Pack of 10)",ACTIVE,PUBLISHED,"",Food & Beverages,Packaged Meals,35.3,USD,Base,"","","","",35.3,12.89,Yes,"",2038305,NETWORK_GEO,4.0,"""LB""",1,Seller Fulfilled,"",0VYOLJQFFMDM,00722966831534,722966831534,http://www.walmart.com/ip/Nissin-Fire-Wok-Hot-Spicy-Torched-Teriyaki-Chicken-3-1oz-Pillows-Pack-of-10/11001862641,https://i5.walmartimages.com/asr/4800a082-5c6b-4fc7-9735-2dcc879fcf4b.6f634a58a12cc2bf7d3a73b5a6f62811.png,Pantry meal essentials,"[""Home Page"",""Food"",""Pantry"",""Pantry meal essentials""]",Nissin,09/02/2024,12/31/2050,09/03/2024,07/08/2026,0,"",Y,FaisalXfood0046,N,number_of_pieces,10,"","","","","","","","",New,Food & Beverage
FaisalX-384,7574205620,"Nature's Own Perfectly Crafted Brioche Style Bread Loaf, 22 oz, (Pack of 3)",ACTIVE,PUBLISHED,"",Food & Beverages,Breads & Buns,30.98,USD,Base,"","",26.8,"","","",Yes,"",2038305,NETWORK_GEO,2.0,"""LB""",1,Seller Fulfilled,"",5CMOKZSIV16B,00742259724626,742259724626,http://www.walmart.com/ip/Nature-s-Own-Perfectly-Crafted-Brioche-Style-Bread-Loaf-22-oz-Pack-of-3/7574205620,https://i5.walmartimages.com/asr/e081de10-7df6-4fa9-b6e9-76a49d00570d.a72f4776782af1ad3d6b8ae85bc07cd9.png,Shop All Artisan Breads,"[""Home Page"",""Food"",""Bakery & Bread"",""Artisan Breads"",""Shop All Artisan Breads""]",Nature's Own,07/31/2024,07/03/2050,07/08/2024,07/25/2026,0,"",Y,Faisalxbread023,N,number_of_pieces,3,"","","","","","","","",New,Food & Beverage
FaisalX-4245,11964212067,"RITZ Cheese Sandwich Crackers, 8 Snack (Pack of 4)",ACTIVE,PUBLISHED,"",Food & Beverages,Snack Crackers,42.13,USD,Base,"","",39.89,"","","",Yes,"",2040210,NETWORK_GEO,4.0,"""LB""",1,Seller Fulfilled,"",6IXDVGYX4DUR,00722966849904,722966849904,http://www.walmart.com/ip/RITZ-Cheese-Sandwich-Crackers-8-Snack-Pack-of-4/11964212067,https://i5.walmartimages.com/asr/463b6e5c-c470-461d-823f-01e8013a6b3d.9b6ef4357cc93bc6e990233815eea6a8.jpeg,Snack Crackers,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Crackers"",""Snack Crackers""]",RITZ,09/17/2024,12/31/2050,09/18/2024,07/22/2026,0,"",Y,FaisalXfood0327,Y,number_of_pieces,4,"","","","","","","","",New,Food & Beverage
FaisalX-4666,12144316319,CLIF Kid Zbar Protein - Chocolate Chip - Crispy Whole Grain Snack Bars - Made with Organic Oats - Non-GMO - 5g Protein - 1.27 oz. (Pack of 4),ACTIVE,PUBLISHED,"",Food & Beverages,Snack Bars,63.03,USD,Base,"","",37.95,"","","",No,"",2048880,NETWORK_GEO,4.0,"""LB""",1,Seller Fulfilled,"",2J3YAZAYX2I8,00722966859156,722966859156,http://www.walmart.com/ip/CLIF-Kid-Zbar-Protein-Chocolate-Chip-Crispy-Whole-Grain-Snack-Bars-Made-with-Organic-Oats-Non-GMO-5g-Protein-1-27-oz-Pack-of-4/12144316319,https://i5.walmartimages.com/asr/da3c9baf-803a-43ec-a1da-e78bb3e7f2f5.389ca122f85d29c7d883c19b6ffc5a0c.jpeg,Shop all Snack Bars,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Snack Bars"",""Shop all Snack Bars""]",ZBAR,09/20/2024,12/31/2050,09/21/2024,07/10/2026,0,"",Y,FaisalXfood0467,N,count_per_pack,4,"","","","","","","","",New,Food & Beverage
RizwanX-07,15292710257,"( 2 Pack ) Tabasco Brand Sweet & Spicy Sauce, 11 Oz",ACTIVE,PUBLISHED,"",Food & Beverages,Hot Sauces,25.93,USD,Base,"","",19.9,"","","",No,"",2038305,NETWORK_GEO,4.0,"""LB""",1,Seller Fulfilled,"",6OTYFV8730UH,00722966871394,722966871394,http://www.walmart.com/ip/2-Pack-Tabasco-Brand-Sweet-Spicy-Sauce-11-Oz/15292710257,https://i5.walmartimages.com/asr/b3ebd9d1-fd27-448b-9baa-8fe893d9862d.55b6d7566b7186c27a2e2ac629856992.jpeg,Pantry meal essentials,"[""Home Page"",""Food"",""Pantry"",""Pantry meal essentials""]",TABASCO,10/20/2024,10/20/2050,02/15/2025,07/23/2026,7,3.3,Y,"","","","",https://www.amazon.com/dp/B0CW3SQDVK?psc=1&th=1&vs=1,29.9,0.0,07/26/2025,"","","","",New,Food & Beverage
