item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
Salutem Vita – Steak Portabella Frozen Meal, Protein-Rich Gourmet Dinner, Gift Set – Pack of 6		0905FJWNVG9	15-S7HD-09YN	78.1	555	2025-09-05 09:22:21 PDT		y	1			11				B0F7XVKZX3						B0F7XVKZX3			0	DEFAULT	Small Frozen	Active
Salutem Vita – Classic Wieners Hot Dogs, Gift Set – Pack of 4		0829FYJ9DKU	1C1H-3IBG-LOBW	56.61	659	2025-08-29 04:35:44 PDT		y	1			11				B0F6V9S2TP						B0F6V9S2TP			0	DEFAULT	Migrated Template	Active
Salutem Vita – Classic Wieners Hot Dogs, Gift Set – Pack of 8		0829FYEST26	1C1H-3IBG-M2P7	98.58	776	2025-08-29 04:35:44 PDT		y	1			11				B0F6VBJ6QC						B0F6VBJ6QC			0	DEFAULT	Default Prime Shipping Template	Active
Salutem Vita – Thick Cut Bacon, 12 Hour Smoked, Mega Pack, Gift Set – Pack of 8		0829FYGYRP3	1C1H-3IBG-MCCW	173.01	666	2025-08-29 04:35:43 PDT		y	1			11				B0F6V9KK3F						B0F6V9KK3F			0	DEFAULT	Migrated Template	Active
Salutem Vita – Thick Cut Bacon, 12 Hour Smoked, Mega Pack, Gift Set – Pack of 4		0829FY83OU6	1C1H-3IBG-MLWK	103.9	777	2025-08-29 04:35:43 PDT		y	1			11				B0F6VB7F6C						B0F6VB7F6C			0	DEFAULT	Migrated Template	Active
Salutem Vita – Center Cut Original Bacon, Quality Pork, Gift Set – Pack of 6		0829FYC39RK	1C1H-3IBG-MNC3	111.5	666	2025-08-29 04:35:42 PDT		y	1			11				B0F6VL7VPW						B0F6VL7VPW			0	DEFAULT	Migrated Template	Active
Salutem Vita – Center Cut Original Bacon, Quality Pork, Gift Set – Pack of 10		0829FYE974D	1C1H-3IBG-NK38	169.27	555	2025-08-29 04:35:43 PDT		y	1			11				B0F6V988WL						B0F6V988WL			0	DEFAULT	Migrated Template	Active
Salutem Vita – Center Cut Original Bacon, Mega Pack Gift Set – Pack of 8		0829FYDRBCB	1C1H-3IBG-NLEN	179.41	444	2025-08-29 04:35:42 PDT		y	1			11				B0F6V9S2TL						B0F6V9S2TL			0	DEFAULT	Migrated Template	Active
Salutem Vita – Sliced Bologna Made with Chicken, Pork, and Beef, Lunch Meat Gift Set – Pack of 6		0829FYESWFD	1C1H-3IBK-15SD	66.67	555	2025-08-29 04:35:47 PDT		y	1			11				B0F6VPYQJZ						B0F6VPYQJZ			0	DEFAULT	Migrated Template	Active
Salutem Vita – Classic Wieners Hot Dogs, Gift Set – Pack of 12		0829FY86FUF	1C1H-3IBK-1S0X	125.52	444	2025-08-29 04:35:45 PDT		y	1			11				B0F6TNHRXC						B0F6TNHRXC			0	DEFAULT	Migrated Template	Active
Salutem Vita – Original Hot Dogs, Classic Wieners Gift Set – Pack of 8		0829FYETXZT	1C1H-3IBK-2ZQK	136.88	555	2025-08-29 04:35:48 PDT		y	1			11				B0F6VBKSFH						B0F6VBKSFH			0	DEFAULT	Migrated Template	Active
Salutem Vita – Sliced Bologna Made with Chicken, Pork, and Beef, Lunch Meat Gift Set – Pack of 12		0829FYK81QI	1C1H-3IBK-3OS9	109.55	777	2025-08-29 04:35:47 PDT		y	1			11				B0F6V9QSCD						B0F6V9QSCD			0	DEFAULT	Migrated Template	Active
Salutem Vita – Classic Beef Franks Hot Dogs, All-Beef Sausages, Gift Set: – Pack of 4		0829FYGYYPP	1C1H-3IBN-OURH	76.72	554	2025-08-29 04:35:51 PDT		y	1			11				B0F6TNHFPJ						B0F6TNHFPJ			0	DEFAULT	Small Frozen	Active
