ordinal,sku,asin,gate_status,readback_status,observed_at,secondary_total,fixed_card_occurrences,additional_total,additional_relevant,exact_recipe_images,shared_context_images,recipe_components_covered,recipe_components_required,blockers,primary_evidence_path,primary_evidence_sha256,row_evidence_sha256
1,AC-AS4J-B64F,B0H82ZZS2P,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,d76a87c90d95b3feccf2f2cbe67b09156baf50304ef5a5872d77c605b764043f
2,AD-AS4H-QXZD,B0H82J6V9T,PASS,VERIFIED_3_STABLE_POST_WRITE_READS,2026-07-18T12:30:05.688Z,5,1,4,4,4,0,1,1,,data/repairs/checkpoints/8badb989fc9bc5ee9c7c/20260718T123005688Z-AD-AS4H-QXZD_media-VERIFIED-7f8cb8d8-b998-4bed-9c54-e16fafb34ae5.json,c475758f2183c674d623c17a98a1cb433f1d0672a5d330f352a74a7dee0d8bcc,9862d82ae31734f2589f19f438505008c3684eacd7fa584108414cbbfafdbd58
3,AG-ASKV-W9EN,B0H85B64V2,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_STRAWBERRY;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,0234c5e1bf438233f6de4cb5bce456fb4ccb8f4e6477bca8f22641f9fbd5fa01
4,AJ-ASRB-HKC3,B0H84G7DHC,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_MIXED_BERRY_MORNING_PROTEIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,ed97478176e8bb39006a8535d02eb157322a866269d8969069758056b4ddd057
5,AN-ASUW-49Y5,B0H8628LW3,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,5,0,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_STRAWBERRY;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,0da4cb4773045ff2b5d6960f05122dd6ae1ea9ffa8b49942d654e30d868dce30
6,AU-AS97-USX8,B0H843Q9B5,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_PLAIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,600a700f75705faf21a44a0407298529d6381a8b8228a1e0eff97f075186a5ce
7,AV-AS7X-8EXK,B0H82JTY19,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,1,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,17479a0185ded8f4f1c379c8aee80fb7d656b52517a9f9e44c9fd511e4ed86f0
8,AY-AS5F-JEY9,B0H83MWTM7,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,1,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,3f75f988ab6f6e540db2bfa4a38639cd161eb703b0a497fa63a246b3c318f075
9,AZ-ASMY-VEQ2,B0H788M8WM,PASS,VERIFIED_3_STABLE_POST_WRITE_READS,2026-07-18T15:00:50.701Z,6,1,5,5,5,0,1,1,,data/repairs/checkpoints/8badb989fc9bc5ee9c7c/20260718T150050701Z-AZ-ASMY-VEQ2_media-VERIFIED-3c8d931e-564e-40ba-b2e2-a3277fac035d.json,96a5fd0965f8cfaeabe552c350e606c1f1678e1d38a0251a86774c28274171e9,a1ad3c6b0f6990b46591e4b75c7d604a6ac1c58b940dae23b3038cdd871c2472
10,BD-AS8P-XAW5,B0H85MXFH8,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,2,GALLERY_REPAIR_NOT_APPLIED;MISSING_RECIPE_COMPONENT:PB_GRAPE;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,0cbba1412b4daca153ba5e7df4618e99c99ff7ea1ebdc36c106411781e694781
