ordinal,sku,asin,gate,target_regular,target_min,target_max,amazon_consumer_offer,amazon_offer_state,amazon_regular_attribute,amazon_business_attribute,amazon_min_attribute,amazon_max_attribute,promo_state,promo_assignment,live_sale_value,live_sale_start,live_sale_end,v4_target_effective,channelmax_status,channelmax_model,channelmax_price,channelmax_min,channelmax_max,failure_codes,blocker_codes
1,AC-AS4J-B64F,B0H82ZZS2P,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,76.99,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_SALEPRICE_MISSING,SALEPRICE_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.64,78.48,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_SCHEDULE_MISSING
2,AD-AS4H-QXZD,B0H82J6V9T,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.64,78.48,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
3,AG-ASKV-W9EN,B0H85B64V2,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
4,AJ-ASRB-HKC3,B0H84G7DHC,FAIL,76.99,66.95,76.99,,NO_OFFER,71.14,,67.81,78.53,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,71.14,86.38,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
5,AN-ASUW-49Y5,B0H8628LW3,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
6,AU-AS97-USX8,B0H843Q9B5,FAIL,76.99,66.95,76.99,76.99,OFFER,76.99,,62.05,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,65.13,79.09,AMAZON_MIN_GUARD_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
7,AV-AS7X-8EXK,B0H82JTY19,BLOCKED,130.99,114.27,130.99,130.99,OFFER,130.99,,114.27,130.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_12,,,,115.27,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,130.99,113.66,138.02,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
8,AY-AS5F-JEY9,B0H83MWTM7,FAIL,297.99,258.57,297.99,259.25,OFFER,281.91,,258.57,297.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,259.25,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,259.25,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,259.25,281.91,342.31,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
9,AZ-ASMY-VEQ2,B0H788M8WM,FAIL,85.99,74.75,85.99,,NO_OFFER,112.27,,74.75,85.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,74.81,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,88.94,112.27,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
10,BD-AS8P-XAW5,B0H85MXFH8,FAIL,76.99,66.95,76.99,66.98,OFFER,70.88,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,70.88,86.08,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
