ordinal,sku,asin,action,write_required,source_visual_audit_conclusion,recipe_keys,reason_codes,before_secondary_count,after_secondary_count,after_product_or_context_count,after_component_asset_counts,after_component_sequence,after_sha256,after_source_urls,validation_pass
1,AC-AS4J-B64F,B0H82ZZS2P,KEEP,false,KEEP,PB_CHOCOLATE_FLAVORED_SPREAD,,7,7,6,PB_CHOCOLATE_FLAVORED_SPREAD:5,PB_CHOCOLATE_FLAVORED_SPREAD|PB_CHOCOLATE_FLAVORED_SPREAD|PB_CHOCOLATE_FLAVORED_SPREAD|PB_CHOCOLATE_FLAVORED_SPREAD|PB_CHOCOLATE_FLAVORED_SPREAD,0becbfd6f8d54afcb84a183f6829fe78f234360df0a76149845263d5eafbb7eb|b1ae628a98acdaa00928e54f9572fbf64af641b6cfa7be571e17b6767e77f521|2eefaa76c78b8fb906ed7609cd065ad437befc7eefb002df0797b3eec2c2e73d|b86499489e737c0d90b094b63506399836a0eae16f22c33010e51566a05ea027|7744caca3ef71db6964395e7202fc4d97cf8d8e9271c824783e86710730f7f0c|11a099f575f349ed333fe1da591c24a493cb76351cbeb80c3e193557ffb8ca96|43e494be94fc441ea3f6467c15bb2f4731304b54abed318d6dadefe49318167f,https://m.media-amazon.com/images/I/81OibsvvU0L.jpg|https://m.media-amazon.com/images/I/71x7b7H6CiL.jpg|https://m.media-amazon.com/images/I/81oq-NhFAEL.jpg|https://m.media-amazon.com/images/I/81zl3g2ayQL.jpg|https://m.media-amazon.com/images/I/81gfkYwVPdL.jpg|https://m.media-amazon.com/images/I/71TcY-NAxtL.jpg|https://m.media-amazon.com/images/I/81oaHODH8RL.jpg,true
2,AD-AS4H-QXZD,B0H82J6V9T,REBUILD_GALLERY,true,REBUILD_GALLERY,PB_HONEY,DISALLOWED_ASSET_SHA256|ASSET_HAS_POLICY_ISSUES|UNAPPROVED_SHARED_CONTEXT_ASSET,7,5,4,PB_HONEY:4,PB_HONEY|PB_HONEY|PB_HONEY|PB_HONEY,0becbfd6f8d54afcb84a183f6829fe78f234360df0a76149845263d5eafbb7eb|7e2aa54266224e1d60e128ee700eaf9caab5d43a0db8fd19848a62d1b1fc8695|2a317b0c01470311deb7fb95df4aba08bf2aa7f8288b09cf678257e680cb8ce0|6a22a74279decafb8936ddf1ebdcce11ef1306ef619bef9b16801e2a175e4c99|13c1ef2f54215dd1eafca9b1b57fec09c72924a94a19d9a3fa1bc5b79ca6996b,https://m.media-amazon.com/images/I/81OibsvvU0L.jpg|https://m.media-amazon.com/images/I/816+z+QiZ9L.jpg|https://m.media-amazon.com/images/I/71liSK63QUL.jpg|https://m.media-amazon.com/images/I/71UBCMlqb1L.jpg|https://m.media-amazon.com/images/I/71jlQpdOmBL.jpg,true
3,AG-ASKV-W9EN,B0H85B64V2,REBUILD_GALLERY,true,REBUILD_GALLERY,PB_HONEY|PB_STRAWBERRY,DISALLOWED_ASSET_SHA256|ASSET_HAS_POLICY_ISSUES|UNAPPROVED_SHARED_CONTEXT_ASSET|MISSING_RECIPE_COMPONENT:PB_STRAWBERRY|UNBALANCED_RECIPE_COMPONENT_COUNTS|NOT_RECIPE_COMPONENT_ROUND_ROBIN,7,7,6,PB_HONEY:3|PB_STRAWBERRY:3,PB_HONEY|PB_STRAWBERRY|PB_HONEY|PB_STRAWBERRY|PB_HONEY|PB_STRAWBERRY,0becbfd6f8d54afcb84a183f6829fe78f234360df0a76149845263d5eafbb7eb|7e2aa54266224e1d60e128ee700eaf9caab5d43a0db8fd19848a62d1b1fc8695|15dde9a56f62cf026daed4d9a611f0d8564a1d3706be039c9827b01b21eaac7c|2a317b0c01470311deb7fb95df4aba08bf2aa7f8288b09cf678257e680cb8ce0|6a7e5214e78a35ca41d59ba26833debcfe8d77090ba65e8e9e3332521e93d66e|6a22a74279decafb8936ddf1ebdcce11ef1306ef619bef9b16801e2a175e4c99|e1a4e725253be83051ee6eabfa922abb5e2b9d0fa154a5db105fd80de092b9ce,https://m.media-amazon.com/images/I/81OibsvvU0L.jpg|https://m.media-amazon.com/images/I/816+z+QiZ9L.jpg|https://m.media-amazon.com/images/I/815wnDxKplL.jpg|https://m.media-amazon.com/images/I/71liSK63QUL.jpg|https://m.media-amazon.com/images/I/81wkh7GbhQL.jpg|https://m.media-amazon.com/images/I/71UBCMlqb1L.jpg|https://m.media-amazon.com/images/I/81x9v1+WzTL.jpg,true
4,AJ-ASRB-HKC3,B0H84G7DHC,REBUILD_GALLERY,true,REBUILD_GALLERY,PB_RASPBERRY|PB_MIXED_BERRY_MORNING_PROTEIN,UNAPPROVED_SHARED_CONTEXT_ASSET|MISSING_RECIPE_COMPONENT:PB_MIXED_BERRY_MORNING_PROTEIN|UNBALANCED_RECIPE_COMPONENT_COUNTS|NOT_RECIPE_COMPONENT_ROUND_ROBIN,7,7,6,PB_RASPBERRY:3|PB_MIXED_BERRY_MORNING_PROTEIN:3,PB_RASPBERRY|PB_MIXED_BERRY_MORNING_PROTEIN|PB_RASPBERRY|PB_MIXED_BERRY_MORNING_PROTEIN|PB_RASPBERRY|PB_MIXED_BERRY_MORNING_PROTEIN,0becbfd6f8d54afcb84a183f6829fe78f234360df0a76149845263d5eafbb7eb|e5f6ea2135ebd8aa356c679796d8d6dde074a10ae14ec49de4b6a27d3fe27148|fa480f2b9e7b614c15dcabc770ec23db204a1e56216c14ea68aa49d6bf5a5d83|ab88aaebe9cdf119fded4a17430996106871e6a930138cfdee85ef53b761fa46|eb648445f7c00ab689fac12048000e9059aeaf99180dd0a65bf8ec35777fc099|b5ccf930e8d364b8e02a624afa5ca5fb51edda93294f0533a8b61a4f7d9e8af4|7c1fb8162b76d5824dce602845aba06621b803dcde7f795b299dc543e04304c0,https://m.media-amazon.com/images/I/81OibsvvU0L.jpg|https://m.media-amazon.com/images/I/712yag8b0rL.jpg|https://m.media-amazon.com/images/I/81C7RzdCNiL.jpg|https://m.media-amazon.com/images/I/81VJerOdHXL.jpg|https://m.media-amazon.com/images/I/71lt5+thAOL.jpg|https://m.media-amazon.com/images/I/814pjy8xc2L.jpg|https://m.media-amazon.com/images/I/81LWnMS3V4L.jpg,true
5,AN-ASUW-49Y5,B0H8628LW3,REBUILD_GALLERY,true,REBUILD_GALLERY,CHOCOLATE_HAZELNUT|PB_STRAWBERRY,DISALLOWED_ASSET_SHA256|ASSET_HAS_POLICY_ISSUES|UNAPPROVED_SHARED_CONTEXT_ASSET|MISSING_RECIPE_COMPONENT:PB_STRAWBERRY|UNBALANCED_RECIPE_COMPONENT_COUNTS|NOT_RECIPE_COMPONENT_ROUND_ROBIN,7,7,6,CHOCOLATE_HAZELNUT:3|PB_STRAWBERRY:3,CHOCOLATE_HAZELNUT|PB_STRAWBERRY|CHOCOLATE_HAZELNUT|PB_STRAWBERRY|CHOCOLATE_HAZELNUT|PB_STRAWBERRY,0becbfd6f8d54afcb84a183f6829fe78f234360df0a76149845263d5eafbb7eb|cf93a9e400d5a73ad2d972f263590f5f38882f4da0f6af1c63394de44b029c9b|15dde9a56f62cf026daed4d9a611f0d8564a1d3706be039c9827b01b21eaac7c|54911f275a0907b16d56d15b0b44839e2134135d546f45d16f76cbdfab255873|6a7e5214e78a35ca41d59ba26833debcfe8d77090ba65e8e9e3332521e93d66e|2fd13b13b8f15487932e6a7293ecb9a74ee732bdcd41c79da1273bc4e706f10b|e1a4e725253be83051ee6eabfa922abb5e2b9d0fa154a5db105fd80de092b9ce,https://m.media-amazon.com/images/I/81OibsvvU0L.jpg|https://m.media-amazon.com/images/I/71aWgmGrimL.jpg|https://m.media-amazon.com/images/I/815wnDxKplL.jpg|https://m.media-amazon.com/images/I/71x1cn1o6fL.jpg|https://m.media-amazon.com/images/I/81wkh7GbhQL.jpg|https://m.media-amazon.com/images/I/71TmsfQKUmL.jpg|https://m.media-amazon.com/images/I/81x9v1+WzTL.jpg,true
6,AU-AS97-USX8,B0H843Q9B5,REBUILD_GALLERY,true,REBUILD_GALLERY,PB_RASPBERRY|PB_PLAIN,UNAPPROVED_SHARED_CONTEXT_ASSET|MISSING_RECIPE_COMPONENT:PB_PLAIN|UNBALANCED_RECIPE_COMPONENT_COUNTS|NOT_RECIPE_COMPONENT_ROUND_ROBIN,7,7,6,PB_RASPBERRY:3|PB_PLAIN:3,PB_RASPBERRY|PB_PLAIN|PB_RASPBERRY|PB_PLAIN|PB_RASPBERRY|PB_PLAIN,0becbfd6f8d54afcb84a183f6829fe78f234360df0a76149845263d5eafbb7eb|e5f6ea2135ebd8aa356c679796d8d6dde074a10ae14ec49de4b6a27d3fe27148|c8e752ff249ed693b13d431ee574e942595f4f8e674081adc830ae4e22ddb186|ab88aaebe9cdf119fded4a17430996106871e6a930138cfdee85ef53b761fa46|ec7da0821ba9b6332bfc0dd39fab90c2f2d7f139e7a4a38e1e53cda4d7a6f8c8|b5ccf930e8d364b8e02a624afa5ca5fb51edda93294f0533a8b61a4f7d9e8af4|558c3a5184c704ed1bfd1c5b3b54c4b646a4ccd4a0d67651f98c609ed55c00a2,https://m.media-amazon.com/images/I/81OibsvvU0L.jpg|https://m.media-amazon.com/images/I/712yag8b0rL.jpg|https://m.media-amazon.com/images/I/71L8sRlEBhL.jpg|https://m.media-amazon.com/images/I/81VJerOdHXL.jpg|https://m.media-amazon.com/images/I/719hbYW9sTL.jpg|https://m.media-amazon.com/images/I/814pjy8xc2L.jpg|https://m.media-amazon.com/images/I/71Uy97zuGyL.jpg,true
7,AV-AS7X-8EXK,B0H82JTY19,REBUILD_GALLERY,true,REBUILD_GALLERY,WHOLE_WHEAT_PB_STRAWBERRY,DISALLOWED_ASSET_SHA256|ASSET_HAS_POLICY_ISSUES|UNAPPROVED_SHARED_CONTEXT_ASSET,7,5,4,WHOLE_WHEAT_PB_STRAWBERRY:4,WHOLE_WHEAT_PB_STRAWBERRY|WHOLE_WHEAT_PB_STRAWBERRY|WHOLE_WHEAT_PB_STRAWBERRY|WHOLE_WHEAT_PB_STRAWBERRY,0becbfd6f8d54afcb84a183f6829fe78f234360df0a76149845263d5eafbb7eb|a615a066e994aa99af535cb2b0365e496030db2bc54d7a1dc532ebc3f87c8aa1|347b9d07ccf4b882d31743cd19b8fbdd4751e08ce0725ea63843489ed81d433c|7510ed9214b0fb71c55ff3ad38ee2f5803f2f2b529bee2ca63029eec389f9e06|23b1a408e84b5016f0b3d2b85f1dc9b5937b0522d736ab2dbe136a4d4031ccc1,https://m.media-amazon.com/images/I/81OibsvvU0L.jpg|https://m.media-amazon.com/images/I/818D-mdJtcL.jpg|https://m.media-amazon.com/images/I/81xVX0-EKWL.jpg|https://m.media-amazon.com/images/I/814QzPWtCjL.jpg|https://m.media-amazon.com/images/I/71T4LmpKkUL.jpg,true
8,AY-AS5F-JEY9,B0H83MWTM7,REBUILD_GALLERY,true,REBUILD_GALLERY,WHOLE_WHEAT_PB_STRAWBERRY,DISALLOWED_ASSET_SHA256|ASSET_HAS_POLICY_ISSUES|UNAPPROVED_SHARED_CONTEXT_ASSET,7,5,4,WHOLE_WHEAT_PB_STRAWBERRY:4,WHOLE_WHEAT_PB_STRAWBERRY|WHOLE_WHEAT_PB_STRAWBERRY|WHOLE_WHEAT_PB_STRAWBERRY|WHOLE_WHEAT_PB_STRAWBERRY,0becbfd6f8d54afcb84a183f6829fe78f234360df0a76149845263d5eafbb7eb|a615a066e994aa99af535cb2b0365e496030db2bc54d7a1dc532ebc3f87c8aa1|347b9d07ccf4b882d31743cd19b8fbdd4751e08ce0725ea63843489ed81d433c|7510ed9214b0fb71c55ff3ad38ee2f5803f2f2b529bee2ca63029eec389f9e06|23b1a408e84b5016f0b3d2b85f1dc9b5937b0522d736ab2dbe136a4d4031ccc1,https://m.media-amazon.com/images/I/81OibsvvU0L.jpg|https://m.media-amazon.com/images/I/818D-mdJtcL.jpg|https://m.media-amazon.com/images/I/81xVX0-EKWL.jpg|https://m.media-amazon.com/images/I/814QzPWtCjL.jpg|https://m.media-amazon.com/images/I/71T4LmpKkUL.jpg,true
9,AZ-ASMY-VEQ2,B0H788M8WM,REBUILD_GALLERY,true,REPAIR_SLOT1,PB_STRAWBERRY,FIXED_CARD_NOT_EXACT_GALLERY_1|DISALLOWED_ASSET_SHA256|ASSET_HAS_POLICY_ISSUES|UNAPPROVED_SHARED_CONTEXT_ASSET|FIXED_CARD_OUTSIDE_GALLERY_1,7,7,6,PB_STRAWBERRY:6,PB_STRAWBERRY|PB_STRAWBERRY|PB_STRAWBERRY|PB_STRAWBERRY|PB_STRAWBERRY|PB_STRAWBERRY,0becbfd6f8d54afcb84a183f6829fe78f234360df0a76149845263d5eafbb7eb|15dde9a56f62cf026daed4d9a611f0d8564a1d3706be039c9827b01b21eaac7c|6a7e5214e78a35ca41d59ba26833debcfe8d77090ba65e8e9e3332521e93d66e|e1a4e725253be83051ee6eabfa922abb5e2b9d0fa154a5db105fd80de092b9ce|1cb5bd08bb80362c4c1e48811c300e337bd9cb93918485cfd4bfa99caef9c066|a4f02b0bc039d9ce849e09a7d55ec7af6b15cce62ecfb84ee381e4ccc80682c5|bf6d2ec3c8bdc6658b1e702c918d810cd18893c2550eff0f678195dac1058649,https://m.media-amazon.com/images/I/81OibsvvU0L.jpg|https://m.media-amazon.com/images/I/815wnDxKplL.jpg|https://m.media-amazon.com/images/I/81wkh7GbhQL.jpg|https://m.media-amazon.com/images/I/81x9v1+WzTL.jpg|https://m.media-amazon.com/images/I/814OFXhXOAL.jpg|https://m.media-amazon.com/images/I/71nCABtrKCL.jpg|https://m.media-amazon.com/images/I/81diZ9XbgwL.jpg,true
10,BD-AS8P-XAW5,B0H85MXFH8,REBUILD_GALLERY,true,REBUILD_GALLERY,PB_APPLE_CINNAMON_PROTEIN|PB_GRAPE,MISSING_RECIPE_COMPONENT:PB_GRAPE|UNBALANCED_RECIPE_COMPONENT_COUNTS|NOT_RECIPE_COMPONENT_ROUND_ROBIN,7,7,6,PB_APPLE_CINNAMON_PROTEIN:3|PB_GRAPE:3,PB_APPLE_CINNAMON_PROTEIN|PB_GRAPE|PB_APPLE_CINNAMON_PROTEIN|PB_GRAPE|PB_APPLE_CINNAMON_PROTEIN|PB_GRAPE,0becbfd6f8d54afcb84a183f6829fe78f234360df0a76149845263d5eafbb7eb|e3f42b6cdf3c50824604db50c1b07f2a48079779b750656d4ebb44df37041cc8|acd2ad49f2a5e19db1ad1234b5ffd354cb2452ec70047d6b6cfc711f789b1673|996e1e6099ce4f3bd9f5b1d2334e7c0c2c62cf643dfe6f6f4efe5a9b09cc6157|3176f1fab0d6e48e982966b5bd5c7f95c4b4646a0d49d4be1fdd783985063fe7|a300d0c80b727a02d4e27aee055c1aed81dbc3979060b5eba2827d368f644d46|858b097e3fc18109434f2e983bd43f669a00302cbb72b9d6efe9d97c2cbdb4d8,https://m.media-amazon.com/images/I/81OibsvvU0L.jpg|https://m.media-amazon.com/images/I/712qi5M8shL.jpg|https://m.media-amazon.com/images/I/71WZxZ3vi0L.jpg|https://m.media-amazon.com/images/I/71o6rbrY8cL.jpg|https://m.media-amazon.com/images/I/813Kel2kSnL.jpg|https://m.media-amazon.com/images/I/71ynD-CPptL.jpg|https://m.media-amazon.com/images/I/71+m-2-KSqL.jpg,true
