ordinal,sku,asin,decision,severity,effective_total_units,previous_effective_decision,newly_discovered_false_keep,reason_codes,reuse_donor_status,asset_sha256,asset_local_path,title,observation
1,AC-AS4J-B64F,B0H82ZZS2P,REPAIR,BLOCKING_DEFECT,24,KEEP,true,RETAILER_BADGE_VISIBLE|MIXED_CARTON_PACK_COUNTS_SINGLE_FLAVOR,,6b7f1b519a2be868871a3fe767d5d284d567a4a00466a4cb0d5576bbb691bedb,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/001-AC-AS4J-B64F-B0H82ZZS2P-6b7f1b519a2b.jpg,"Uncrustables Peanut Butter & Chocolate Flavored Spread Sandwiches, 2 oz Each, Frozen, 24 Count",Single flavor is represented as 10 + 10 + 4 retail cartons. The 10-count art also carries a visible Walmart badge.
2,AD-AS4H-QXZD,B0H82J6V9T,REPAIR,BLOCKING_DEFECT,24,KEEP,true,MIXED_CARTON_PACK_COUNTS_SINGLE_FLAVOR,,cf0d3b06d0c438d19d2844bc23c51d6363fb7df73ac3d842d772945e51774c7f,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/002-AD-AS4H-QXZD-B0H82J6V9T-cf0d3b06d0c4.jpg,"Uncrustables Peanut Butter & Honey Spread Frozen Sandwiches, 2 oz Each, 24 Count","Single flavor is represented by mixed 10-count and 4-count carton designs (10 + 10 + 4), violating the one-design rule."
3,AG-ASKV-W9EN,B0H85B64V2,REPAIR,BLOCKING_DEFECT,24,KEEP,true,CARTON_COUNT_MATH_MISMATCH|WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|FICTIONAL_OR_ALTERED_PACKAGE_ART,,7e274540b591bd781c7d019d8f09138f0c0f68a6819377dcce05edafe017492b,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/003-AG-ASKV-W9EN-B0H85B64V2-7e274540b591.jpg,"Uncrustables Frozen Peanut Butter Sandwiches Variety Pack, 24 Count - Honey Spread & Strawberry Jam","Visible retail-carton count/pack-size arithmetic does not exactly reconcile to every recipe quantity. At least one visible product/flavor is not the exact recipe product. At least one required recipe component is not visibly represented. Visible package art is fabricated, corrupted, or materially altered from reviewed genuine art."
4,AJ-ASRB-HKC3,B0H84G7DHC,REPAIR,BLOCKING_DEFECT,24,REGENERATE,false,MISSING_RECIPE_COMPONENT,,97369434e19236edbe55e1b5c987c48b0771f5aac07b2bdb85efdcac94dd17d9,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/004-AJ-ASRB-HKC3-B0H84G7DHC-97369434e192.jpg,"Uncrustables Peanut Butter Sandwiches Variety Pack, Raspberry Spread and Morning Protein Mixed Berry Spread, 2 oz Each, 24 Count, Frozen",At least one required recipe component is not visibly represented.
5,AN-ASUW-49Y5,B0H8628LW3,REPAIR,BLOCKING_DEFECT,24,REGENERATE,false,NO_APPROVED_COOLER_SCENE,,2710053915e6b3cb248bea6d987b9ca15d996817b95d3fc1fe276a8568f59630,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/005-AN-ASUW-49Y5-B0H8628LW3-2710053915e6.jpg,"Uncrustables Frozen Sandwiches, Chocolate Hazelnut Spread & Peanut Butter Strawberry Jam Variety Pack, 24 Count",The approved Salutem cooler/gel-pack frozen-shipping scene is absent.
6,AU-AS97-USX8,B0H843Q9B5,REPAIR,BLOCKING_DEFECT,24,KEEP,true,CARTON_COUNT_MATH_MISMATCH,,9e71cf5d6f5b7b446eecd30bc1844a9ce04d99ad026e08135a429f6be665d4c5,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/006-AU-AS97-USX8-B0H843Q9B5-9e71cf5d6f5b.jpg,"Uncrustables Peanut Butter & Raspberry Spread and Peanut Butter Frozen Sandwiches, 2 oz Each, Variety Pack, 24 Count","Visible 4-count cartons imply 16 units of each component, not the required 12 + 12."
7,AV-AS7X-8EXK,B0H82JTY19,KEEP,VISUAL_PASS,45,KEEP,false,,,b396b5cf187557a3f773d206abcc3cbed72e7c671ee08678f121bd3a7113616c,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/007-AV-AS7X-8EXK-B0H82JTY19-b396b5cf1875.jpg,"Uncrustables Whole Wheat Peanut Butter & Strawberry Jam Sandwich, Reduced Sugar, Frozen, 2 oz Each, 45 Count","Original-resolution visual review found the exact recipe presentation, a visually reconciled carton/wrapper count plan, the approved cooler/Salutem scene, exactly 2 inside + 2 outside gel packs, and no concrete forbidden mark or package-art defect."
8,AY-AS5F-JEY9,B0H83MWTM7,KEEP,VISUAL_PASS,120,KEEP,false,,,044e5ca43a82de25389e70d0438793dc81685e152af9d59e11a290d7b0f0bceb,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/008-AY-AS5F-JEY9-B0H83MWTM7-044e5ca43a82.jpg,"Uncrustables Whole Wheat Peanut Butter & Strawberry Jam Sandwiches, 2 oz, Reduced Sugar, Individually Wrapped, 120 Count","Original-resolution visual review found the exact recipe presentation, a visually reconciled carton/wrapper count plan, the approved cooler/Salutem scene, exactly 2 inside + 2 outside gel packs, and no concrete forbidden mark or package-art defect."
9,AZ-ASMY-VEQ2,B0H788M8WM,REPAIR,BLOCKING_DEFECT,30,KEEP,true,CARTON_COUNT_MATH_MISMATCH|FICTIONAL_OR_ALTERED_PACKAGE_ART,,9b8f93057114a28e79e7f7115f39defa1f9a4a67fc4c604cfdefe983ad73c39b,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/009-AZ-ASMY-VEQ2-B0H788M8WM-9b8f93057114.jpg,"Uncrustables Peanut Butter & Strawberry Jam Sandwiches, 30 Count, 2 oz Each, Frozen Multipack","Visible retail-carton count/pack-size arithmetic does not exactly reconcile to every recipe quantity. Visible package art is fabricated, corrupted, or materially altered from reviewed genuine art."
10,BD-AS8P-XAW5,B0H85MXFH8,REPAIR,BLOCKING_DEFECT,24,REGENERATE,false,NO_APPROVED_COOLER_SCENE,,0124cb930fb56fce7760407b429d6831bce14bb61704227592e273bb277eae74,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/010-BD-AS8P-XAW5-B0H85MXFH8-0124cb930fb5.jpg,"Uncrustables Frozen Peanut Butter Sandwich Variety Pack, Apple Cinnamon Jelly Protein & Grape Jelly, 24 Count",The approved Salutem cooler/gel-pack frozen-shipping scene is absent.
