SKU	ASIN	SellingVenue	MinSellingPrice	MaxSellingPrice	PurchaseCost	RepricingModelID
10SUPBS	B0DQ36TBQK	AmazonUS	133.77	191.43	102.90	59021
11SUPBS	B0DQ2VDDZ8	AmazonUS	239.07	292.33	183.90	59021
12-YZO9-4Y83	B0DQ1J6J3Z	AmazonUS	125.97	145.35	96.90	59021
1AIC-6CNH-880G		AmznUS3	43.55	166.50	33.50	59021
1AIC-6CNN-8E4W		AmznUS3	40.95	117.30	31.50	59021
1AIC-6CNP-4ASC		AmznUS3	170.43	213.59	131.10	59021
1AIC-6CNV-OR9Y		AmznUS3	46.15	206.76	35.50	59021
1AIC-6CNV-R87U		AmznUS3	133.77	189.98	102.90	59021
1AIC-6CNX-HRM2		AmznUS3	43.55	78.10	33.50	59021
1AIC-6CON-MTKE		AmznUS3	118.17	151.10	90.90	59021
1AIC-6CQF-FOBA		AmznUS3	39.65	137.92	30.50	59021
1AIC-6CQP-VOER		AmznUS3	46.15	182.98	35.50	59021
1C8K-3NQH-R3L7		AmznUS4	66.95	81.67	51.50	59021
1C8K-3NQH-RAHY		AmznUS4	118.17	139.54	90.90	59021
1C8K-3NQH-SKZ7		AmznUS4	66.95	81.67	51.50	59021
1C8K-3NQH-STTZ		AmznUS4	237.77	283.63	182.90	59021
1C8K-3NQH-SUKB		AmznUS4	160.03	187.75	123.10	59021
1C8K-3NQH-TENQ		AmznUS4	160.03	187.75	123.10	59021
1C8K-3NQH-TGPI		AmznUS4	160.03	187.75	123.10	59021
1C8K-3NQH-TI6R		AmznUS4	237.77	283.63	182.90	59021
1C8K-3NQH-U48Y		AmznUS4	118.17	139.54	90.90	59021
1C8K-3NQH-UDWF		AmznUS4	237.77	283.63	182.90	59021
1C8K-3NQN-58I6		AmznUS4	237.77	283.63	182.90	59021
1C8K-3NQN-59SV		AmznUS4	118.17	139.54	90.90	59021
1C8K-3NQN-5IIM		AmznUS4	66.95	81.67	51.50	59021
1C8K-3NQN-5WCI		AmznUS4	66.95	81.67	51.50	59021
1C8K-3NQN-6LID		AmznUS4	66.95	81.67	51.50	59021
1C8K-3NQN-6Q4Y		AmznUS4	237.77	283.63	182.90	59021
1C8K-3NQN-6RMG		AmznUS4	118.17	139.54	90.90	59021
1C8K-3NQN-6YP4		AmznUS4	160.03	187.75	123.10	59021
1C8K-3NQN-6ZW9		AmznUS4	160.03	187.75	123.10	59021
1C8K-3NQN-71OT		AmznUS4	118.17	139.54	90.90	59021
1C8K-3NQT-8193		AmznUS4	160.03	187.75	123.10	59021
1C8K-3NQT-83JO		AmznUS4	237.77	283.63	182.90	59021
1C8K-3NQT-85RZ		AmznUS4	237.77	283.63	182.90	59021
1C8K-3NQT-88AV		AmznUS4	66.95	81.67	51.50	59021
1C8K-3NQT-926D		AmznUS4	160.03	187.75	123.10	59021
1C8K-3NQT-99AJ		AmznUS4	118.17	139.54	90.90	59021
1C8K-3NQT-9A3P		AmznUS4	237.77	283.63	182.90	59021
1C8K-3NQT-9IW5		AmznUS4	66.95	81.67	51.50	59021
1C8K-3NQT-9O4H		AmznUS4	237.77	283.63	182.90	59021
1C8K-3NQT-9WDA		AmznUS4	160.03	187.75	123.10	59021
1C8K-3NQZ-D23M		AmznUS4	237.77	283.63	182.90	59021
1C8K-3NQZ-D460		AmznUS4	118.17	139.54	90.90	59021
1C8K-3NQZ-DA7U		AmznUS4	237.77	283.63	182.90	59021
1C8K-3NQZ-DCDD		AmznUS4	160.03	187.75	123.10	59021
1C8K-3NQZ-DVOV		AmznUS4	66.95	81.67	51.50	59021
1C8K-3NQZ-EB52		AmznUS4	160.03	187.75	123.10	59021
1C8K-3NQZ-ECOT		AmznUS4	118.17	139.54	90.90	59021
1C8K-3NQZ-EES7		AmznUS4	66.95	81.67	51.50	59021
1C8K-3NQZ-EF4B		AmznUS4	118.17	139.54	90.90	59021
1C8K-3NQZ-GSA3		AmznUS4	66.95	81.67	51.50	59021
1C8K-3NR6-X48L		AmznUS4	118.17	139.54	90.90	59021
1C8K-3NR6-X4H6		AmznUS4	160.03	187.75	123.10	59021
1C8K-3NR6-XWQ9		AmznUS4	237.77	283.63	182.90	59021
1C8K-3NR6-YBRA		AmznUS4	160.03	187.75	123.10	59021
1C8K-3NR6-YG1S		AmznUS4	66.95	81.67	51.50	59021
1C8K-3NR6-YO1J		AmznUS4	118.17	139.54	90.90	59021
1C8K-3NR6-Z0VE		AmznUS4	206.57	269.62	158.90	59021
1C8K-3NR6-Z9HE		AmznUS4	97.37	122.13	74.90	59021
1C8K-3NR6-ZVOR		AmznUS4	118.17	176.39	90.90	59021
1C8K-3NR7-022R		AmznUS4	56.55	72.96	43.50	59021
1C8K-3NRD-AROC		AmznUS4	216.97	287.40	166.90	59021
1C8K-3NRD-AUS6		AmznUS4	118.17	176.39	90.90	59021
1C8K-3NRD-B4DF		AmznUS4	66.95	81.67	51.50	59021
1C8K-3NRD-B4RF		AmznUS4	242.97	291.01	186.90	59021
1C8K-3NRD-B8P3		AmznUS4	118.17	139.54	90.90	59021
1C8K-3NRD-BK8E		AmznUS4	133.77	180.37	102.90	59021
1C8K-3NRD-CPZJ		AmznUS4	66.95	90.75	51.50	59021
1C8K-3NRD-D4LL		AmznUS4	242.97	291.01	186.90	59021
1C8K-3NRD-DX66		AmznUS4	107.77	139.91	82.90	59021
1C8K-3NRD-DYHU		AmznUS4	72.15	89.05	55.50	59021
