SKU	ASIN	SellingVenue	MinSellingPrice	MaxSellingPrice
743269740583	B0G2BGKHWR	AmazonUS	107.77	124.35
SV-2ZYX-WRHI	B0DQ6311P1	AmazonUS	74.75	86.25
WP-7XFG-JIB0	B0DQ2QKCG4	AmazonUS	133.77	154.35
714671745879	B0G2N57JLZ	AmazonUS	66.95	77.25
714671746012	B0G2N6S2JC	AmazonUS	160.03	184.65
714671746050	B0G2NV988H	AmazonUS	160.03	184.65
714671746098	B0G2N4SXL4	AmazonUS	160.03	184.65
714671746135	B0G2N48HC3	AmazonUS	160.03	184.65
714671746173	B0G2N4XVCS	AmazonUS	160.03	184.65
714671746210	B0G2N4V4J1	AmazonUS	160.03	184.65
714671746258	B0G2N596PT	AmazonUS	160.03	184.65
714671746296	B0G2N57L2V	AmazonUS	160.03	184.65
714671746333	B0G2N4H3SV	AmazonUS	160.03	184.65
714671746371	B0G2N59L4Z	AmazonUS	160.03	184.65
714671746418	B0G2N3VWHC	AmazonUS	160.03	184.65
714671746456	B0G2N93PZC	AmazonUS	160.03	184.65
714671746494	B0G2N4HHB9	AmazonUS	160.03	184.65
714671746531	B0G2N77SRF	AmazonUS	160.03	184.65
714671746579	B0G2N6Q7JB	AmazonUS	160.03	184.65
743269740637	B0G2BH1H1V	AmazonUS	160.03	184.65
P5-EYLN-3YHG	B0DQ92QQ56	AmazonUS	66.95	77.25
714671745954	B0G2N5GYS5	AmazonUS	66.95	77.25
714671746609	B0G2N4BL8F	AmazonUS	118.17	136.35
743269740897	B0G2N4WJL4	AmazonUS	66.95	77.25
743269740934	B0G2N7M9HG	AmazonUS	66.95	77.25
743269741092	B0G2N2CXF6	AmazonUS	66.95	77.25
743269741139	B0G2N287HD	AmazonUS	66.95	77.25
743269741177	B0G2N725Q9	AmazonUS	66.95	77.25
4D-7Z1N-8091	B0DQ1FGVD2	AmazonUS	74.75	86.25
714671745886	B0G2N46SQD	AmazonUS	118.17	136.35
714671745992	B0G2N1WYJC	AmazonUS	66.95	77.25
714671746005	B0G2N59X3D	AmazonUS	118.17	136.35
714671746029	B0G2N47DRR	AmazonUS	237.77	274.35
714671746036	B0G2N1D7KS	AmazonUS	66.95	77.25
714671746043	B0G2N2TP4P	AmazonUS	118.17	136.35
714671746067	B0G2N6QWCZ	AmazonUS	237.77	274.35
714671746074	B0G2P5GFG2	AmazonUS	66.95	77.25
714671746081	B0G2MZ8KF8	AmazonUS	118.17	136.35
714671746104	B0G2N4P4RM	AmazonUS	237.77	274.35
714671746111	B0G2N7F9ZH	AmazonUS	66.95	77.25
714671746128	B0G2N2ZKNB	AmazonUS	118.17	136.35
714671746142	B0G2N5HB2X	AmazonUS	237.77	274.35
714671746159	B0G2N7814L	AmazonUS	66.95	77.25
714671746166	B0G2N4S1GN	AmazonUS	118.17	136.35
714671746180	B0G2N6PWX5	AmazonUS	237.77	274.35
714671746197	B0G2N59GDL	AmazonUS	66.95	77.25
714671746203	B0G2N77FSF	AmazonUS	118.17	136.35
714671746227	B0G2N6SW89	AmazonUS	237.77	274.35
714671746234	B0G2N4RN9D	AmazonUS	66.95	77.25
714671746241	B0G2N6YCTT	AmazonUS	118.17	136.35
714671746265	B0G2N4T7BL	AmazonUS	237.77	274.35
714671746272	B0G2NRWMG7	AmazonUS	66.95	77.25
714671746289	B0G2N4KBZ8	AmazonUS	118.17	136.35
714671746302	B0G2N4TPWC	AmazonUS	237.77	274.35
714671746319	B0G2N5LW8C	AmazonUS	66.95	77.25
714671746326	B0G2N4NW3L	AmazonUS	118.17	136.35
714671746340	B0G2N4QRMY	AmazonUS	237.77	274.35
714671746357	B0G2N59N2G	AmazonUS	66.95	77.25
714671746364	B0G2N4FTBB	AmazonUS	118.17	136.35
714671746388	B0G2N4ZBCD	AmazonUS	237.77	274.35
714671746395	B0G2N5GZMV	AmazonUS	66.95	77.25
714671746401	B0G2N55QDJ	AmazonUS	118.17	136.35
714671746425	B0G2N1PBCP	AmazonUS	237.77	274.35
714671746432	B0G2N2WP8C	AmazonUS	66.95	77.25
714671746449	B0G2N4CS9Q	AmazonUS	118.17	136.35
714671746463	B0G2N4V9FL	AmazonUS	237.77	274.35
714671746470	B0G2N521R8	AmazonUS	66.95	77.25
714671746487	B0G2N6R6YL	AmazonUS	118.17	136.35
714671746500	B0G2N24WT4	AmazonUS	237.77	274.35
714671746517	B0G2N4KTYD	AmazonUS	66.95	77.25
714671746524	B0G2N2YZLV	AmazonUS	118.17	136.35
714671746548	B0G2N5GBBC	AmazonUS	237.77	274.35
714671746555	B0G2N53GD2	AmazonUS	66.95	77.25
714671746562	B0G2N71NCH	AmazonUS	118.17	136.35
714671746586	B0G2N6ZCT4	AmazonUS	237.77	274.35
714671746593	B0G2N4WZJQ	AmazonUS	66.95	77.25
714671746616	B0G2N4SFL9	AmazonUS	160.03	184.65
714671746623	B0G2N2S7BT	AmazonUS	237.77	274.35
743269735923	B0FL2VR4DY	AmazonUS	72.15	83.25
743269735930	B0FL2TNJWL	AmazonUS	118.17	136.35
743269735947	B0FL2TXRW1	AmazonUS	160.03	184.65
743269735954	B0FL2VXNWJ	AmazonUS	242.97	280.35
743269735961	B0FL2TWMQM	AmazonUS	66.95	77.25
743269735978	B0FL2X2G7S	AmazonUS	118.17	136.35
743269735985	B0FL2X4WZN	AmazonUS	160.03	184.65
743269740576	B0G2BGM7RW	AmazonUS	66.95	77.25
743269740590	B0G2BGNSPD	AmazonUS	118.17	136.35
743269740606	B0G2BGYZ9C	AmazonUS	216.97	250.35
743269740620	B0G2BHCZHG	AmazonUS	118.17	136.35
743269740644	B0G2BDGSP9	AmazonUS	242.97	280.35
743269740743	B0G2BGH2B5	AmazonUS	107.77	124.35
743269740750	B0G2BH6V64	AmazonUS	118.17	136.35
743269740767	B0G2BJPVJX	AmazonUS	216.97	250.35
743269740781	B0G2BFB4RF	AmazonUS	118.17	136.35
743269740798	B0G2BHT234	AmazonUS	133.77	154.35
743269740811	B0G2BHSRPY	AmazonUS	56.55	65.25
743269740828	B0G2BG1LF5	AmazonUS	97.37	112.35
743269740835	B0G2BJTPD7	AmazonUS	118.17	136.35
743269740842	B0G2BH34LJ	AmazonUS	206.57	238.35
743269740866	B0G2N5N7QB	AmazonUS	118.17	136.35
743269740903	B0G2N4N227	AmazonUS	118.17	136.35
743269740958	B0G2N2BMDD	AmazonUS	160.03	184.65
743269741016	B0G2N24WSL	AmazonUS	66.95	77.25
743269741023	B0G2N567JB	AmazonUS	118.17	136.35
743269741061	B0G2NZ39J2	AmazonUS	118.17	136.35
743269741108	B0G2N43VXS	AmazonUS	118.17	136.35
9V-GJYN-MKSR	B0DQ945P4Z	AmazonUS	170.43	196.65
Q3-CP1Q-BUE3	B0DQ54MM43	AmazonUS	242.97	280.35
V2-049D-3EGU	B0DQ95N73D	AmazonUS	118.17	136.35
VY-DG31-67FN	B0DQ5DF9GJ	AmazonUS	72.15	83.25
Z1-026E-4UJA	B0DQVJ7J7P	AmazonUS	120.77	139.35
ZI-OOJH-O3JP	B0DQ97R632	AmazonUS	227.37	262.35
714671745862	B0G2N1K8WR	AmazonUS	237.77	274.35
714671745909	B0G2N4TPW5	AmazonUS	237.77	274.35
714671745930	B0G2N5CC62	AmazonUS	160.03	184.65
714671745947	B0G2N6V2D5	AmazonUS	237.77	274.35
714671745961	B0G2N6SH5R	AmazonUS	118.17	136.35
714671745985	B0G2MZYKCS	AmazonUS	237.77	274.35
743269740880	B0G2N4QCZ2	AmazonUS	237.77	274.35
743269740910	B0G2N7265F	AmazonUS	160.03	184.65
743269740927	B0G2N28L89	AmazonUS	237.77	274.35
743269740941	B0G2N4QCYX	AmazonUS	118.17	136.35
743269740965	B0G2N6K84D	AmazonUS	237.77	274.35
743269740989	B0G2N2DKL2	AmazonUS	118.17	136.35
743269740996	B0G2N5BF6Q	AmazonUS	160.03	184.65
743269741009	B0G2N3Z8SP	AmazonUS	237.77	274.35
743269741030	B0G2N42YFV	AmazonUS	160.03	184.65
743269741047	B0G2N6RKL8	AmazonUS	237.77	274.35
743269741085	B0G2N4XVS2	AmazonUS	237.77	274.35
743269741122	B0G2N52BWV	AmazonUS	237.77	274.35
743269741146	B0G2N5X252	AmazonUS	118.17	136.35
743269741160	B0G2N4T7B4	AmazonUS	237.77	274.35
743269741184	B0G2N7GKG7	AmazonUS	118.17	136.35
NP-DBF3-4Q53	B0DQ1NQC6F	AmazonUS	114.27	131.85
T4-Y0G0-ZHII	B0DQ2PWTDM	AmazonUS	74.75	86.25
12-YZO9-4Y83	B0DQ1J6J3Z	AmazonUS	125.97	145.35
714671745855	B0G2N6TCVD	AmazonUS	160.03	184.65
714671745893	B0G2N6RBHQ	AmazonUS	160.03	184.65
714671745978	B0G2N3MNR6	AmazonUS	160.03	184.65
743269740873	B0G2N4YSTC	AmazonUS	160.03	184.65
743269741078	B0G2N3HRDT	AmazonUS	160.03	184.65
743269741115	B0G2NTZKW9	AmazonUS	160.03	184.65
743269741153	B0G2N4KL6H	AmazonUS	160.03	184.65
743269735992	B0FL2WXMST	AmazonUS	242.97	280.35
743269740613	B0G2BGN533	AmazonUS	72.15	83.25
743269740736	B0G2BGGBWG	AmazonUS	66.95	77.25
743269740859	B0G2N3C3SF	AmazonUS	66.95	77.25
714671745916	B0G2N236SK	AmazonUS	66.95	77.25
743269740774	B0G2BJWCC5	AmazonUS	66.95	77.25
76-BMJB-ZSXT	B0DQ62J5Z3	AmazonUS	239.07	275.85
7Z-OISJ-FE5O	B0DQ2QGQJX	AmazonUS	120.77	139.35
BI-VZ9R-KOFJ	B0DQ5Y4ZNX	AmazonUS	114.27	131.85
AP-5XVY-3431	B0DQ1H639L	AmazonUS	170.43	196.65
743269740972	B0G2N43YHG	AmazonUS	66.95	77.25
743269741054	B0G2N4ZBBX	AmazonUS	66.95	77.25
743269740804	B0G2BHNV1W	AmazonUS	242.97	280.35
