ActualShippingCost	AmazonCategory	AmazonPrice	AmznFeaMAX	ASIN	BuyBoxRotation%	BuyBoxSellerID	BuyBoxShipping	BuyBoxTotal	ChildCount	CMaxItemID	CommissionAmt	CompetitorCount	EAN	EmployeeID	EmployeeName	FBA	FBATotalFee	FolderID	FolderName	IGotBuybox	InvProfileID	InvProfileName	InventoryClassID	IsMasterSKU	IsAmazon	IsBBox	IsFBA	IsLowest	IsOnlyMe	IsSelling	ItemCondition	ItemLocationID	ItemLocationName	ItemName	ItemThumbnail	ItemWight	KitSKU?	KitComponentCount	KitItemID	KitItemIDx	LeadTimeinAmzn	LeadTimeToShip	LotSize	Manufacturer	MAP	MarketPlaceID	MarketPlaceName	MasterSKU	MasterSKUControlsInv	MasterSKUQtyIsSumOfVariations	MaxSellingPrice	MinSellingPrice	MPN	MyCeiling	MyFloor	MyPrice	MyShipping	MyTotal	NewPrice	PurchaseCost	Quantity	RelatedASINs	ReorderQuantity	RepricingModelID	RepricingModelName	SalePrice	SalePriceEnd	SalePriceStart	SalesRank	SKU	SupplierSKU	UPC	VariableClosingFee	WhenAddedToCMax
	Pet Products	0.0000		B0F1W6DQRZ	0	A1LCOF57VUVMI4	22.9000	137.3600	0	158042988	20.5900	3				N		1217266	AmznUS-InvImp	0				N		X	X	X		N	New			Salutem Vita � Chunky Chicken & Turkey Dog Food Rolls, Ready-to-Serve Chilled Meal, Gift Set: 1 Roll, 1.5 lb - Pack of 8	em4:I/41Kegb6OWoL._SL75_.jpg			0									Amzn US				138.9900	0.0000		138.99	114.46	126.2600	11.0000	137.2600	0.0000		777			59149	never sold				0	03-DN10-JTDH				3/18/2025 7:25:21 PM
	Grocery								0	162189746						N		1523763	AmznUS4-InvImp					N							New			Barber Foods Frozen Cordon Bleu Stuffed Chicken Breast Meat, 5 Ounce -- 24 per case.	em4:I/31g9HNrPqFL._SL75_.jpg			0									Amzn US				116.4000	0.0000									555			59021	Manual min/max					04-1X9Q-Q0R6				8/8/2025 8:01:22 PM
	Grocery								0	151837599						N		1493335	AmznUS3-InvImp					N							New			Suja Uber Greens Organic Vegan Fruit & Vegetable Juice Drink - Gluten and Dairy free - No Preservatives and Flavors Added - Ready Set Gourmet Donate a Meal Program - 6 Pack (12oz Each)	em4:I/41xYn5IXvLL._SL75_.jpg			0									Amzn US				80.0000	0.0000									548			59021	Manual min/max					04-CXZ0-5U05				7/1/2024 10:48:30 PM
9.0000	Grocery	0.0000	19.9600	B07KJLRD1X	0	A2XUR2VHGHIZ5I	0.0000	39.0000	0	130587035	7.8200	5				N		1217266	AmznUS-InvImp	0				N		N	N	N		Y	New			Jimmy Dean Expect More Fully Cooked Turkey Sausage Links, 48 Count	em4:I/51pRm2QvoWL._SL75_.jpg			0									Amzn US				38.6100	28.6000		38.61	28.6	28.6000	23.5000	52.1000	0.0000	14.0000	1			59021	Manual min/max				122371	05-4YER-PCKW				10/13/2022 9:08:57 PM
	Video Games								0	155467345						Y		1523763	AmznUS4-InvImp					N							Used Like-New			My Arcade Atari Game Station Pro: Video Game Console with 200+ Games, Wireless Joysticks, RGB LED Lights, Atari 2600/5200/7800 and More [video game]	em4:I/21Aa+lSYMgL._SL75_.jpg	0.48		0									Amzn US				59.9000	0.0000									6									05-EBE9-3BKZ				12/4/2024 9:21:18 AM
	Grocery								0	156318805						N		1523763	AmznUS4-InvImp					N							New			DiGiorno Cheese Stuffed Crust Supreme Pizza, 26.4 oz. Box (Pack of 12)	em4:I/61dmlysc6IL._SL75_.jpg			0									Amzn US				139.2400	0.0000									333			59149	never sold					07-661B-0WO7				1/13/2025 9:17:53 PM
14.0000	Grocery	0.0000		B09RM4QFS9	100	MySelf	29.5000	142.6700	0	133162175	21.4000	1				N		1217266	AmznUS-InvImp	1				N		Y	N	N		Y	New			Healthy Choice Caf� Steamers Grilled Chicken Marinara with Parmesan - No Preservatives - 21 Grams of Protein Per Serving - 8 Pack (9.5 Oz Each) - Ready Set Gourmet Donate a Meal Program	em4:I/41xYn5IXvLL._SL75_.jpg			0									Amzn US				116.8300	86.5400		116.83	86.54	113.1700	29.5000	142.6700	0.0000	45.0000	44			59021	Manual min/max				0	08-E68Z-DA3P				12/14/2022 7:25:30 AM
	Grocery								0	162189747						N		1523763	AmznUS4-InvImp					N							New			Schwans Red Baron 4 Cheese Par Baked Pizza, 6 Ounce -- 12 per case.	em4:I/419poEbZdnL._SL75_.jpg			0									Amzn US				69.1500	0.0000									555			59149	never sold					08-F89P-H1WY				8/8/2025 8:01:22 PM
	Grocery	0.0000		B0DXDH1GKD	100	MySelf	25.0000	104.8200	0	157199099	15.7200	1				N		1217266	AmznUS-InvImp	1				N		Y	N	N		Y	New			Salutem Vita - Classic Olive Loaf, 1.25 lbs. (actual weight may vary within 5%) - Pack of 4	em4:I/41E-LjEuRxL._SL75_.jpg			0									Amzn US				79.8200	0.0000		87.8	72.31	79.8200	25.0000	104.8200	0.0000		777								458078	0A-2DLV-8XJU				2/16/2025 11:24:48 PM
	Grocery	0.0000		B0DQVQ99SR	100	MySelf	22.0000	129.7300	0	155923275	19.4600	1				N		1217266	AmznUS-InvImp	1				N		Y	N	N		Y	New			Salutem Vita - Boneless Beef Ribeye Steak, 3 lbs (actual weight may vary within 5%)	em4:I/51f4J9j2OlL._SL75_.jpg			0									Amzn US				107.7300	0.0000		107.73	88.72	107.7300	22.0000	129.7300	0.0000		555			59149	never sold				0	0G-W49K-JGRJ				12/20/2024 10:14:14 PM
19.0000	Grocery	0.0000		B0DVPTQ69X	100	MySelf	43.0000	297.2800	0	156890950	44.5900	1				N		1217266	AmznUS-InvImp	1				N		Y	N	N		Y	New			Salutem Vita - Sweet Italian Style Chicken Dinner Sausage, 32 oz. - Pack of 6	em4:I/51F6mE9SZrL._SL75_.jpg			0									Amzn US				259.2900	192.0700		259.29	248.32	254.2800	43.0000	297.2800	0.0000	94.0000	777			59149	never sold				0	0I-1458-DPBH				2/1/2025 6:24:08 PM
	Grocery	0.0000		B0DPN7R6V7	100	MySelf	34.0000	125.6600	0	155497022	18.8500	1				N		1217266	AmznUS-InvImp	1				N		Y	N	N		Y	New			Salutem Vita - Boneless Thin Pork Loin Chop, 4 lb (actual weight may vary within 5%) - Pack of 2	em4:I/01tvB4HLPcL._SL75_.jpg			0									Amzn US				91.6600	0.0000		91.66	75.48	91.6600	34.0000	125.6600	0.0000		555			59149	never sold				0	0L-FVX6-K5RE				12/5/2024 6:25:43 PM
	Health and Beauty								0	154596717						N		1523763	AmznUS4-InvImp					N							New			Salutem Vita Advanced Detox Cleanse, Natural Detox & Cleanse with Milk Thistle, Licorice Powder, and More, Body Cleanse Detox for Women and Men, 42 Capsules	em4:I/41DhTWEc7XL._SL75_.jpg			0									Amzn US				29.9000	0.0000									55			59149	never sold					0N-OHLT-X854				11/2/2024 3:30:49 AM
	Grocery	0.0000		B0DQVQSDTQ	100	MySelf	22.0000	96.7300	0	155880298	14.5100	1				N		1217266	AmznUS-InvImp	1				N		Y	N	N		Y	New			Salutem Vita - Choice Beef Stew, 3.5 lbs (actual weight may vary within 5%)	em4:I/41YOeguoEtL._SL75_.jpg			0									Amzn US				74.7300	0.0000		74.73	61.54	74.7300	22.0000	96.7300	0.0000		666			59149	never sold				0	0V-499O-82LH				12/19/2024 12:36:31 AM
	Grocery	0.0000	39.8400	B07PJV5PTB	0		0.0000	0.0000	0	164861740	0.0000	0				N		1217266	AmznUS-InvImp	0				N		X	X	X		N	New			Freshpet Select Tender Chicken Recipe For Small Dogs, 1 Lb (Pack of 6)	em4:I/51lqVCpd-5L._SL75_.jpg			0									Amzn US				100.0600	74.1200		100.06	87.2	0.0000	0.0000	0.0000	0.0000	42.0000	411			59149	never sold				0	0X-EU4E-LPXT				12/8/2025 6:57:53 AM
	Grocery	0.0000		B0DPQRTRT7	100	MySelf	37.0000	120.5300	0	155516498	18.0800	1				N		1217266	AmznUS-InvImp	1				N		Y	N	N		Y	New			Salutem Vita - Chicken Drumsticks, 9 lbs (actual weight may vary within 5%)	em4:I/21SAtQiaUZL._SL75_.jpg			0									Amzn US				90.0000	69.0000		90	81.18	83.5300	37.0000	120.5300	0.0000		666			59149	never sold				0	0X-LZ4Q-75DP				12/6/2024 3:35:18 PM
	Grocery								0	157233320						N		1523763	AmznUS4-InvImp					N							New			Salutem Vita - 100% Organic Grass Fed Sirloin Steak, 1.12 lbs. (actual weight may vary within 5%) - Pack of 3	em4:I/51Nm8cvnd0L._SL75_.jpg			0									Amzn US				129.1500	0.0000									333			59149	never sold					0Z-CA29-X84L				2/18/2025 10:38:02 PM
	Grocery	0.0000		B0DQ36TBQK	100	MySelf	81.0000	272.4300	0	155604276	40.8600	1				N		1217266	AmznUS-InvImp	1				N		X	X	X		N	New			Smucker's Uncrustables Peanut Butter & Strawberry Jam Sandwiches, 15 count (Frozen) - Pack of 4 (total 60 pieces)	em4:I/61MVJh+bRrL._SL75_.jpg			0									Amzn US				191.4300	160.0000		191.43	188.24	191.4300	81.0000	272.4300	0.0000		555			59149	never sold				0	10SUPBS				12/11/2024 3:29:07 AM
	Grocery	0.0000		B0DQ2VDDZ8	100	MySelf	111.0000	469.9600	0	155604277	70.4900	1				N		1217266	AmznUS-InvImp	1				N		X	X	X		N	New			Smucker's Uncrustables Peanut Butter & Strawberry Jam Sandwiches, 15 count (Frozen) - Pack of 7 (total 105 pieces)	em4:I/61MVJh+bRrL._SL75_.jpg			0									Amzn US				292.3300	250.0000		397.06	294.12	358.9600	111.0000	469.9600	0.0000		777			59149	never sold				0	11SUPBS				12/11/2024 3:29:07 AM
	Grocery	0.0000		B0DQ1J6J3Z	100	MySelf	32.5000	174.8500	0	155592307	26.2300	1				N		1217266	AmznUS-InvImp	1				N		Y	N	N		Y	New			Smucker's Uncrustables Frozen Peanut Butter & Grape Jelly Sandwich, 18 count - Pack of 3 (total 54 pieces)	em4:I/51JG7dZOVAL._SL75_.jpg			0						Uncrustables			Amzn US				145.3500	125.9700		142.35	121	142.3500	32.5000	174.8500	0.0000		666			59021	Manual min/max				445513	12-YZO9-4Y83				12/10/2024 2:19:54 PM
	Grocery								0	162631102						N		1493334	AmznUS2-InvImp					N							New			Salutem Vita � Steak Portabella Frozen Meal, Protein-Rich Gourmet Dinner, Gift Set � Pack of 6	em4:I/51C+PiewC1L._SL75_.jpg			0						Salutem Solutions			Amzn US				78.1000	0.0000									555			59149	never sold					15-S7HD-09YN				9/5/2025 7:35:05 PM
	Pet Products	0.0000		B0F24RYN45	0	A2M65JNWASZVQF	0.0000	184.9800	0	158186669	28.7700	2				N		1217266	AmznUS-InvImp	0				N		X	X	X		N	New			Salutem Vita Premium Chilled Dog Food Gift Set � Fresh-Cut Chicken with Garden Vegetables, 4.5 lb Bag - Pack of 3 (Total 13.5 lb)	em4:I/4176Fq57A-L._SL75_.jpg			0									Amzn US				184.9800	149.0000		184.98	175.29	175.2900	16.5000	191.7900	0.0000		888			59149	never sold				0	18-RNLY-NC7V				3/21/2025 5:32:02 PM
	Grocery	0.0000		B0DXDGNM9T	100	MySelf	19.7500	67.7500	0	157199100	10.1600	1				N		1217266	AmznUS-InvImp	1				N		X	X	X		N	New			Salutem Vita - Classic Olive Loaf, 1.25 lbs. (actual weight may vary within 5%)	em4:I/41E-LjEuRxL._SL75_.jpg			0									Amzn US				48.0000	0.0000		52.8	43.48	48.0000	19.7500	67.7500	0.0000		777								247903	1A-1BLL-EJX7				2/16/2025 11:24:48 PM
	Grocery								0	155649557						N		1493335	AmznUS3-InvImp					N							New			Healthy Choice Caf� Steamers Grilled Chicken Marinara with Parmesan - No Preservatives - 21 Grams of Protein Per Serving - 8 Pack (9.5 Oz Each) - Ready Set Gourmet Donate a Meal Program	em4:I/41xYn5IXvLL._SL75_.jpg			0									Amzn US				91.2600	0.0000									444									1AIC-6CNA-MAD2				12/13/2024 4:20:44 AM
