ASIN,SKU,count,arm,base_item_price,effective_price,lever
B0H8259J9G,FK-AS6B-6G25,24,A,76.99,66.98,COUPON_13
B0H827V9DJ,FR-AS6X-5KJY,24,A,76.99,66.98,COUPON_13
B0H82B7KK1,LP-AS9J-HSVB,24,A,76.99,66.98,COUPON_13
B0H82CBLRM,QE-ASEQ-4YV5,24,A,76.99,66.98,COUPON_13
B0H82K7Y7S,PB-ASAF-G2T6,24,A,76.99,66.98,COUPON_13
B0H82NHQCL,MF-AS0J-YRT4,24,A,76.99,66.98,COUPON_13
B0H82RQ226,QX-AS89-H8YC,24,A,76.99,66.98,COUPON_13
B0H82X48CD,NJ-ASAC-PTK2,24,A,76.99,66.98,COUPON_13
B0H8369PMK,JH-ASV9-Z46X,24,A,76.99,66.98,COUPON_13
B0H83SJFR7,RU-ASC3-4TUS,24,A,76.99,66.98,COUPON_13
B0H83XBXHX,KN-ASYZ-ST4M,24,A,76.99,66.98,COUPON_13
B0H83Y8JH7,DP-ASQ6-ZPZU,24,A,76.99,66.98,COUPON_13
B0H83ZH3TB,SH-ASO0-PW37,24,A,76.99,66.98,COUPON_13
B0H83ZRNCS,BH-ASTN-S4XJ,24,A,76.99,66.98,COUPON_13
B0H843Q9B5,AU-AS97-USX8,24,A,76.99,66.98,COUPON_13
B0H84547PM,NT-ASIL-V5LK,24,A,76.99,66.98,COUPON_13
B0H845JBM6,KD-AS12-8HZ3,24,A,76.99,66.98,COUPON_13
B0H8462L4S,JU-ASM0-KV4Z,24,A,76.99,66.98,COUPON_13
B0H8493HNR,RY-ASMO-6N4F,24,A,76.99,66.98,COUPON_13
B0H84CGGXL,LK-AS7X-K43B,24,A,76.99,66.98,COUPON_13
B0H84JH1WN,ER-ASRK-TPYQ,24,A,76.99,66.98,COUPON_13
B0H84PVG1G,ZX-ASQU-TKU9,24,A,76.99,66.98,COUPON_13
B0H84XMG42,RY-ASO3-24Q2,24,A,76.99,66.98,COUPON_13
B0H84Z6QWY,PT-AS5B-Z2XH,24,A,76.99,66.98,COUPON_13
B0H84ZL156,JC-ASM4-XXW7,24,A,76.99,66.98,COUPON_13
B0H8531B8B,ZE-AS5W-FKH3,24,A,76.99,66.98,COUPON_13
B0H853HGHC,SU-ASS4-RV6R,24,A,76.99,66.98,COUPON_13
B0H853SHVC,LJ-ASYO-FWJK,24,A,76.99,66.98,COUPON_13
B0H854C7SZ,JU-ASYC-SSJD,24,A,76.99,66.98,COUPON_13
B0H8564C6D,SG-AS32-LZ9Y,24,A,76.99,66.98,COUPON_13
B0H856RRRK,HR-AS7Q-7ZDF,24,A,76.99,66.98,COUPON_13
B0H857K38C,HZ-ASPS-4L22,24,A,76.99,66.98,COUPON_13
B0H859JMGJ,YV-AST8-LMKN,24,A,76.99,66.98,COUPON_13
B0H859VYXH,WR-ASR5-AVWE,24,A,76.99,66.98,COUPON_13
B0H85CF81Y,WK-ASPD-G9HL,24,A,76.99,66.98,COUPON_13
B0H85DF1R7,WZ-ASXK-ZFAS,24,A,76.99,66.98,COUPON_13
B0H85DRT93,WR-ASTH-TPXV,24,A,76.99,66.98,COUPON_13
B0H85GR968,RQ-AS78-STLZ,24,A,76.99,66.98,COUPON_13
