store,sku,asin,total,cooler,landed,current_item_price,target_item_price,delta_pct,status,fulfillment,title
store1,743269740767,B0G2BJPVJX,88,XL,166.90,378.02,250.35,51,Active,DEFAULT,"Uncrustables Peanut Butter & Strawberry Sandwiches, Gift Set, 22,4 oz, 8 count each – Pack of 11 (total 88 pieces)"
store1,VY-DG31-67FN,B0DQ5DF9GJ,28,S,55.50,111,83.25,33,Active,DEFAULT,"Uncrustables Frozen Chocolate Flavored Hazelnut Spread Sandwich, 4 count - Pack of 7 (total 28 pieces)"
store1,743269740583,B0G2BGKHWR,40,M,82.90,162.95,124.35,31,Active,DEFAULT,"Uncrustables Peanut Butter Apple Cinnamon Wheat Sandwiches, Gift Set, 22,4 oz, 8 count each – Pack of 5 (total 40 pieces)"
store1,SV-2ZYX-WRHI,B0DQ6311P1,30,S,57.50,111,86.25,29,Active,DEFAULT,"Uncrustables Sandwich, Peanut Butter & Honey Spread, 10 count - Pack of 3 (total 30 pieces)"
store1,743269740828,B0G2BG1LF5,32,M,74.90,144.09,112.35,28,Active,DEFAULT,"Uncrustables Peanut Butter & Strawberry Sandwiches on Wheat Bread, Gift Set, 22,4 oz, 8 count each – Pack of 4 (total 32 pieces)"
store1,743269740743,B0G2BGH2B5,40,M,82.90,158.43,124.35,27,Active,DEFAULT,"Uncrustables Peanut Butter & Strawberry Sandwiches, Gift Set, 22,4 oz, 8 count each – Pack of 5 (total 40 pieces)"
store1,743269740590,B0G2BGNSPD,48,M,90.90,169.11,136.35,24,Active,DEFAULT,"Uncrustables Peanut Butter Apple Cinnamon Wheat Sandwiches, Gift Set, 22,4 oz, 8 count each – Pack of 6 (total 48 pieces)"
store1,743269740835,B0G2BJTPD7,48,M,90.90,169.14,136.35,24,Active,DEFAULT,"Uncrustables Peanut Butter & Strawberry Sandwiches on Wheat Bread, Gift Set, 22,4 oz, 8 count each – Pack of 6 (total 48 pieces)"
store1,WP-7XFG-JIB0,B0DQ2QKCG4,60,M,102.90,188.33,154.35,22,Active,DEFAULT,"Uncrustables Peanut Butter and Raspberry Sandwich, 10 count (Frozen) - Pack of 6 (total 60 pieces)"
store1,NP-DBF3-4Q53,B0DQ1NQC6F,45,M,87.90,155,131.85,18,Active,DEFAULT,"Uncrustables Frozen Peanut Butter & Grape Jelly Sandwich, 15 count - Pack of 3 (total 45 pieces)"
store1,743269740750,B0G2BH6V64,48,M,90.90,157.99,136.35,16,Active,DEFAULT,"Uncrustables Peanut Butter & Strawberry Sandwiches, Gift Set, 22,4 oz, 8 count each – Pack of 6 (total 48 pieces)"
store1,Z1-026E-4UJA,B0DQVJ7J7P,50,M,92.90,161.58,139.35,16,Active,DEFAULT,"Uncrustables Mixed Flavors (Strawberry, Grape, Raspberry, Chocolate, Peanut Butter) - Peanut Butter Frozen Sandwich, 10 Count - Pack of 5, 1 of Each flavor (total 50 pieces)"
store1,743269740798,B0G2BHT234,60,M,102.90,173.95,154.35,13,Active,DEFAULT,"Uncrustables Chocolate Hazelnut Spread Sandwiches, Gift Set, 7,2 oz, 4 count each – Pack of 15 (total 60 pieces)"
store1,V2-049D-3EGU,B0DQ95N73D,48,M,90.90,152.94,136.35,12,Active,DEFAULT,"Uncrustables Mixed Flavors (Strawberry, Grape, Raspberry, Chocolate, Honey, Peanut Butter) - Peanut Butter Frozen Sandwich, 4 Count - Pack of 12, 2 of Each flavor (total 48 pieces)"
store1,ZI-OOJH-O3JP,B0DQ97R632,96,XL,174.90,294.59,262.35,12,Active,DEFAULT,"Uncrustables Mixed Flavors (Strawberry, Grape, Raspberry, Chocolate, Honey, Peanut Butter) - Peanut Butter Frozen Sandwich, 4 Count - Pack of 24, 4 of Each flavor (total 96 pieces)"
store1,743269740606,B0G2BGYZ9C,88,XL,166.90,274.89,250.35,10,Active,DEFAULT,"Uncrustables Peanut Butter Apple Cinnamon Wheat Sandwiches, Gift Set, 22,4 oz, 8 count each – Pack of 11 (total 88 pieces)"
store1,714671746197,B0G2N59GDL,24,S,51.50,83.67,77.25,8,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,743269735923,B0FL2VR4DY,28,S,55.50,89.64,83.25,8,Active,DEFAULT,"Salutem Vita – Uncrustables Frozen Peanut Butter and Grape Jelly Sandwiches, Gift Set, 4 count – Pack of 7 (total 28 pieces)"
store1,714671746395,B0G2N5GZMV,24,S,51.50,82.69,77.25,7,Active,DEFAULT,"Uncrustables Peanut Butter & Honey Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,714671746593,B0G2N4WZJQ,24,S,51.50,82.69,77.25,7,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Strawberry Jam Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,714671745992,B0G2N1WYJC,24,S,51.50,81.67,77.25,6,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Mixed Berry Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
