ASIN list,Discount type,Coupon discount % Off value,Coupon title,Coupon budget,Coupon start date,Coupon end date,Limit redemption to one per customer,Targeted Segment
B0H83S368B,% off,13,Save 13% – Uncrustables Raspberry 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83R4M3R,% off,13,Save 13% – Uncrustables Strawberry 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83RVHNF,% off,13,Save 13% – Uncrustables Chocolate Flavored 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83VBTLT,% off,13,Save 13% – Uncrustables Grape 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83FYZR3,% off,13,Save 13% – Uncrustables Blueberry 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83HNB3B,% off,13,Save 13% – Uncrustables Grape 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83FP8WW,% off,13,Save 13% – Uncrustables Strawberry 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83LSCQQ,% off,13,Save 13% – Uncrustables Mixed Berry 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H839G6RQ,% off,13,Save 13% – Uncrustables Blackberry 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83B6TYP,% off,13,Save 13% – Uncrustables Variety 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83QW85C,% off,13,Save 13% – Uncrustables Apple Cinnamon 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83GBJLW,% off,13,Save 13% – Uncrustables Strawberry 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83FKSN6,% off,13,Save 13% – Uncrustables Chocolate Flavored 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H839TPC5,% off,13,Save 13% – Uncrustables Apple Cinnamon 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8361PYX,% off,13,Save 13% – Uncrustables Strawberry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83D8TFQ,% off,13,Save 13% – Uncrustables Chocolate Flavored 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H833W54L,% off,13,Save 13% – Uncrustables Apple Cinnamon 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83789KC,% off,13,Save 13% – Uncrustables Strawberry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82ZZS2P,% off,13,Save 13% – Uncrustables Chocolate Flavored 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8369PMK,% off,13,Save 13% – Uncrustables Apple Cinnamon 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82X48CD,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82XBNVN,% off,13,Save 13% – Uncrustables Sandwich 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82XNFRW,% off,13,Save 13% – Uncrustables Strawberry 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H834L7P6,% off,13,Save 13% – Uncrustables Honey 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82PXWKS,% off,13,Save 13% – Uncrustables Raspberry 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82T12L7,% off,13,Save 13% – Uncrustables Strawberry 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H831889Q,% off,13,Save 13% – Uncrustables Chocolate Flavored 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H832SD15,% off,13,Save 13% – Uncrustables Grape 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82MKPRJ,% off,13,Save 13% – Uncrustables Blueberry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82SZSYJ,% off,13,Save 13% – Uncrustables Grape 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82QYM85,% off,13,Save 13% – Uncrustables Variety 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82XP1MM,% off,13,Save 13% – Uncrustables Apple Cinnamon 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82QPCJL,% off,13,Save 13% – Uncrustables Sandwiches 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82JTY19,% off,13,Save 13% – Uncrustables Strawberry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H831MXGD,% off,13,Save 13% – Uncrustables Honey 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H81WMJBP,% off,13,Save 13% – Uncrustables Raspberry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82MSTD9,% off,13,Save 13% – Uncrustables Strawberry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82MT74H,% off,13,Save 13% – Uncrustables Chocolate Flavored 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82LMD9Z,% off,13,Save 13% – Uncrustables and Grape 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82JYZQH,% off,13,Save 13% – Uncrustables Grape 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82YB4PD,% off,13,Save 13% – Uncrustables Blackberry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8219Z7T,% off,13,Save 13% – Uncrustables Variety 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H822TJ7C,% off,13,Save 13% – Uncrustables Apple Cinnamon 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82GJ292,% off,13,Save 13% – Uncrustables Sandwich 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82L3LRT,% off,13,Save 13% – Uncrustables Strawberry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H822MPKC,% off,13,Save 13% – Uncrustables Honey 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H828GQLP,% off,13,Save 13% – Uncrustables Raspberry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82L74PL,% off,13,Save 13% – Uncrustables Strawberry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H822CVVL,% off,13,Save 13% – Uncrustables Chocolate Flavored 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82BCZ44,% off,13,Save 13% – Uncrustables Blueberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8259J9G,% off,13,Save 13% – Uncrustables Blackberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H827V9DJ,% off,13,Save 13% – Uncrustables Variety 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82RQ226,% off,13,Save 13% – Uncrustables Apple Cinnamon 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82K7Y7S,% off,13,Save 13% – Uncrustables Sandwiches 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82J6V9T,% off,13,Save 13% – Uncrustables Honey 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82B7KK1,% off,13,Save 13% – Uncrustables Raspberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82NHQCL,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83XBXHX,% off,13,Save 13% – Uncrustables Sandwich Variety Pack 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H827J2XZ,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H786L5MW,% off,13,Save 13% – Uncrustables Strawberry 90ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H784LMG6,% off,13,Save 13% – Uncrustables Strawberry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H788M8WM,% off,13,Save 13% – Uncrustables Strawberry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H776M5B5,% off,13,Save 13% – Uncrustables Blackberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
